Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Christelite,Christelite,3007,Zn^2+^_3_Cu^2+^_2_(S^6+^_4_)_2_(OH)_6_·4H_2_O,,Zn Cu S O H,5,2,3,1456,72,0,0,1,0,1,Christelite,39,4.362,170.131,0.825,1996,404835,1995,1,1.3,blue,2,,1,Ktenasite,5.41815,6.335,10.478,94.345,90.04,90.24,358.61,triclinic,1,P1,,P,1855,73,2,13,"Block 14 Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.959166666667,141.475",EG100_633,
Chrysocolla,Chrysocolla,43,(Cu^2+^_2-x_Al_x_)H_2-x_Si_2_O_5_(OH)_4_·nH_2_O,,Cu Al H Si O,5,2,3197,1467,72,0,0,1,0,1,Chrysocolla,,,,,,,-315,6,0.5,blue,2,4,0,Allophane,,,,,,,,,,,,,3293,122953,640,2037,"Marble Bar South Copper And Gold Mine, Marble Bar, East Pilbara Shire, Western Australia, Australia","-21.236111111111,119.775",EG97_873,
Chrysothallite,Chrysothallite,3008,K_6_Cu^2+^_6_Tl^3+^Cl^1-^_17_(OH)_4_·H_2_O,,K Cu Tl Cl O H,6,2,1,6171,72,0,0,1,0,1,Chrysothallite,,,,,,,2013,1,0.005,yellow,2,3,0,,11.3689,11.3689,26.207,90,90,90,3387.304,tetragonal,4/m2/m2/m,I4/mmm,,I,3.60E-05,259833,3,10,"Glavnaya Tenoritovaya Fumarole (Major Tenorite), Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Chvilevaite,Chvilevaite,4130,"Na(Cu,Fe,Zn)_2_S_2_",,Na Cu Fe Zn S,5,,1,1476,51,0,1,0,1,0,Chvilevaite,5,2.322,11.61,1,1990,39255,1987,1,0.05,brown,1,3,1,,3.873,3.873,6.848,90,90,120,88.959,hexagonal,3mm,P3m1,,P,,,0,4,,,,
Ciriottiite,Ciriottiite,4132,"Cu_4_Pb_19_(Sb,As,Bi)_22_(As_2_)S_56_",,Cu Pb Sb As Bi S,6,1,1,6428,51,0,1,0,1,0,Ciriottiite,,,,,,,2015,1,0.015,black,1,nd,0,Madocite,8.178,28.223,42.452,90,93.55,90,9779.447,monoclinic,2/m,P21/n,,P,,,0,3,,,,
Claraite,Claraite,961,Cu^2+^_3_CO_3_(OH)_4_·4H_2_O,,Cu C O H,4,2,35,1481,72,0,0,1,0,1,Claraite,,,,,,,1981,1,0.05,green,2,2,0,,14.28,8.03,7.27,79.16,107.9,99.68,773.6,triclinic,1,P1,2,P,416,123375,7,48,"Stocker Adit, Silberberg, Geyer - Silberberg District, Brixlegg - Rattenberg, Brixlegg - Schwaz Area, Inn Valley, North Tyrol, Tyrol, Austria","0,0",,
Claringbullite,Claringbullite,1461,Cu^2+^_4_FCl(OH)_6_,,Cu F Cl O H,5,2,12,1482,72,0,0,1,0,1,Claringbullite,36,2.182,78.568,0.422,1995,81606,1976,1,1,blue,6,,1,Claringbullite,6.672766667,6.672766667,9.223333333,90,90,120,355.6563333,hexagonal,6/m2/m2/m,P63/mmc,24,P,900,4337,9,52,"M'sesa Mine, Kambove District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.849722222222,26.606388888889",USGSOFR03_107,
Clinoatacamite,Clinoatacamite,917,Cu^2+^_2_Cl(OH)_3_,,Cu Cl O H,4,2,39,1489,72,0,0,1,0,1,Clinoatacamite,36,3.281,118.117,0.635,2009,260350,1993,1,0.1,green,2,3,1,Atacamite,6.154394444,6.819773333,9.130467778,90,99.60554444,90,377.8462222,monoclinic,2/m,P21/n,4,P,1795,158,10,88,"Iron Monarch Open Cut, Iron Knob, Middleback Range, Eyre Peninsula, South Australia, Australia","-32.744722222222,137.13944444444",PR40_363,
Clinoclase,Clinoclase,464,Cu^2+^_3_As^5+^O_4_(OH)_3_,,Cu As O H,4,2,118,1497,72,0,0,1,0,1,Clinoclase,44,3.459,152.215,0.634,1990,68456,1830,6,0.9,green,2,3,1,,7.249175,6.450875,12.37375,90,99.5055,90,570.701,monoclinic,2/m,P21/c,4,P,2700,108736,34,231,"Sanyati Mine, Kadoma District, Mashonaland West, Zimbabwe","0,0",G82_469,
Cloncurryite,Cloncurryite,4139,Cu^2+^_0.5_(V^4+^O)_0.5_Al_2_(P^5+^O_4_)_2_F_2_·5H_2_O,,Cu V O Al P F H,7,2,1,5562,72,0,0,1,0,1,Cloncurryite,90,4.514,406.267,0.695,,,2005,1,0.1,blue,2,2,1,,4.961,12.181,18.974,90,90.96,90,1146.437,monoclinic,2/m,P21/c,,P,,,0,4,,,,
Colinowensite,Colinowensite,4143,BaCu^2+^Si_2_O_6_,,Ba Cu Si O,4,2,1,6116,72,0,0,1,0,1,Colinowensite,80,2.522,201.754,0.399,,,2012,1,0.01,blue,2,4,1,,9.9813275,9.9813275,22.33435,90,90,90,2225.1325,tetragonal,4/m2/m2/m,I41/acd,,I,,,0,2,,,,
Colusite,Colusite,576,Cu^1+^_12_V^5+^As^5+^_3_S^2-^_16_,,Cu V As S,4,1,78,1537,51,0,1,0,1,0,Colusite,66,2.498,164.852,0.413,,,1914,6,0.5,brown,1,4,1,Germanite,10.6084,10.6084,10.6084,90,90,90,1193.9128,cubic,43m,P43n,24,P,2716,4381,31,171,"Kidd Creek Mine (Kidd Mine), Kidd Township, Timmins Area, Cochrane District, Ontario, Canada","48.69,-81.366666666667",USGSOFR2009_1034,
Conichalcite,Conichalcite,222,CaCu^2+^As^5+^O_4_(OH),,Ca Cu As O H,5,2,336,1543,72,0,0,1,0,1,Conichalcite,36,3.17,114.117,0.613,2008,260059,1849,6,0.3,green,2,4.5,1,Adelite,7.40218,6.15225,8.87625,90,90,90,397.1536,orthorhombic,222,P212121,4,P,1795,158,108,487,"Iron Monarch Open Cut, Iron Knob, Middleback Range, Eyre Peninsula, South Australia, Australia","-32.744722222222,137.13944444444",PR40_363,
Connellite,Connellite,268,Cu^2+^_36_(S^6+^O_4_)(OH)_62_Cl_8_·6H_2_O,,Cu S O H Cl,5,2,259,1544,72,0,0,1,0,1,Connellite,128,3.452,441.804,0.493,2006,415129,1847,6,2.5,blue,2,3,1,,15.78453333,15.78453333,9.1065,90,90,120,1964.924,hexagonal,6/m2/m2/m,P63/mmc,24,P,2046,11607,69,362,"Ightem Mine (Irhtem Mine), Ightem, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco","30.489166666667,-6.6633333333333",GSLSP350_7,
Coparsite,Coparsite,4144,Cu^2+^_4_O_2_As^5+^O_4_Cl,,Cu O As Cl,4,2,1,1548,72,0,0,1,0,1,Coparsite,48,2.918,140.078,0.523,1998,50575,1996,1,0.2,brown,2,4.5,1,,5.43,11.1155,10.37475,90,90,90,626.74575,orthorhombic,2/m2/m2/m,Pbcm,,P,3.60E-05,2656,1,8,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Copper,Copper,41,Cu,,Cu,1,0,3346,1550,"12,51,78,93",0,1,1,1,0,Copper,1,0,0,Nan,1953,64699,antiquity,6,15,brown,2,3,1,Copper,3.640144,3.640144,3.640144,90,90,90,48.2432,cubic,4/m32/m,Fm3m,192,F,3640,3086,748,2559,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa","-25.724722222222,31.094444444444",JAES6_681,
Cornetite,Cornetite,1069,Cu^2+^_3_P^5+^O_4_(OH)_3_,,Cu P O H,4,2,27,1557,72,0,0,1,0,1,Cornetite,88,3.459,304.43,0.536,1989,67044,1912,6,1,blue,2,4.5,1,,10.852,14.06,7.0911,90,90,90,1081.954333,orthorhombic,2/m2/m2/m,Pbca,8,P,1031,123286,14,69,"Blue Mine, Springbok, Okiep Copper District, Namakwa District (Namaqualand), Northern Cape Province, South Africa","0,0",MD35_741,
Cornubite,Cornubite,487,Cu^2+^_5_(As^5+^O_4_)_2_(OH)_4_,,Cu As O H,4,2,105,1558,72,0,0,1,0,1,Cornubite,19,3.301,62.711,0.777,1984,30683,1959,1,0.5,green,2,4,1,,6.121,6.251,6.79,92.93,111.3,107.47,227.109,triclinic,1,P1,2,P,675,4336,33,208,"Mindingi Mine (Mindigi Mine), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.099444444444,26.177222222222",OGR40_81,
Cornwallite,Cornwallite,369,Cu^2+^_5_(As^5+^O_4_)_2_(OH)_4_,,Cu As O H,4,2,166,1559,72,0,0,1,0,1,Cornwallite,46,3.567,164.084,0.646,1999,89035,1847,6,0.1,green,2,4.5,1,,4.597233333,5.763,17.374,90,91.90333333,90,460.0533333,monoclinic,2/m,P21/c,4,P,2700,108736,54,296,"Sanyati Mine, Kadoma District, Mashonaland West, Zimbabwe","0,0",G82_469,
Covellite,Covellite,38,CuS,,Cu S,2,1,3642,1569,"51,72",0,1,1,1,1,Covellite,12,1.918,23.02,0.535,1988,63327,1815,6,10,blue,1,2,1,,3.736225,3.736225,16.22419389,90,90,120,196.27225,hexagonal,6/m2/m2/m,P63/mmc,24,P,3640,3086,921,3031,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa","-25.724722222222,31.094444444444",JAES6_681,
Creaseyite,Creaseyite,1070,Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_·6H_2_O,,Cu Pb Fe Si O H,6,2,26,1574,72,0,0,1,0,1,Creaseyite,,,,,,,1974,1,0.05,green,6,2.5,0,,12.49933333,21.41,7.285333333,90,90,90,1949.638667,orthorhombic,,,,,1285,53700,7,42,"Black Mountain (Swartberg Mine), Aggeneys, Namakwa District (Namaqualand), Northern Cape Province, South Africa","0,0",USGSOFR2009_1297,
Crednerite,Crednerite,979,Cu^1+^Mn^3+^O_2_,,Cu Mn O,3,1,35,1575,72,0,0,1,0,1,Crednerite,4,1.5,6,0.75,2011,180020,1849,6,6,gray,1,4,1,,5.556666667,2.882333333,5.891333333,90,104.3333333,90,91.41866667,monoclinic,2/m,C2/m,8,C,1900,3197,8,64,"Jakobsberg Mine, Jakobsberg Ore Field, Nordmark District, Filipstad, Värmland, Sweden","59.816666666667,14.1",MD29_150,
Crookesite,Crookesite,1669,Cu_7_TlSe_4_,,Cu Tl Se,3,,8,1584,51,0,1,0,1,0,Crookesite,13,1.854,24.106,0.501,1991,69104,1867,6,,gray,1,3,1,,10.4387,10.4387,3.95208,90,90,90,430.6392,tetragonal,4/m,I4/m,,I,348.5,18388,8,37,"Petrovice, Nové M?sto Na Morav?, Vyso?ina Region, Moravia (Mähren; Maehren), Czech Republic","49.545833333333,16.0625",,
Cryptochalcite,Cryptochalcite,4156,K_2_Cu^2+^_5_O(S^6+^O_4_)_5_,,K Cu O S,4,2,1,6405,72,0,0,1,0,1,Cryptochalcite,,,,,,,2014,1,,green,2,,0,Cryptochalcite,,,,,,,,,,,,,3.60E-05,251235,1,8,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Cualstibite,Cualstibite,2457,Cu^2+^_2_AlSb^5+^(OH)_12_,,Cu Al Sb O H,5,2,9,1589,72,0,0,1,0,1,Cualstibite,84,3.944,331.328,0.617,2007,156180,1983,1,0.005,green,2,2,1,Hydrotalcite,9.15,9.15,9.745,90,90,120,706.569,hexagonal,3,P3,,P,387,1782,1,12,"Clara Mine, Rankach Valley, Oberwolfach, Wolfach, Black Forest, Baden-Württemberg, Germany","48.383333333333,8.2463888888889",EJM21_817,
Cubanite,Cubanite,137,CuFe_2_S_3_,,Cu Fe S,3,1,681,1590,"41,51,92",0,1,0,1,0,Cubanite,24,1.918,46.039,0.418,1971,14255,1843,6,3,yellow,1,3.5,1,Cubanite,6.4432,11.08024444,6.207244444,90,90,90,443.2037778,orthorhombic,2/m2/m2/m,Pcmn,8,P,3640,3086,254,1000,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa","-25.724722222222,31.094444444444",JAES6_681,
Cumengeite,Cumengeite,881,Pb^2+^_21_Cu^2+^_20_Cl_42_(OH)_40_·6H_2_O,,Pb Cu Cl O H,5,2,40,1592,72,0,0,1,0,1,Cumengeite,171,4.248,726.453,0.573,2005,157067,1893,6,8,blue,2,2.5,1,,15.078,15.078,24.4575,90,90,90,5560.329,tetragonal,4/m2/m2/m,I4/mmm,32,I,1855,72,8,62,"Broken Hill, Yancowinna Co., New South Wales, Australia","-31.966111111111,141.46777777778",EG100_633,
Cuprite,Cuprite,50,Cu^1+^_2_O,,Cu O,2,1,2610,1595,72,0,0,1,0,1,Cuprite,6,0.918,5.51,0.355,1979,628619,1845,6,14,red,3,4,1,,4.26469,4.26469,4.26469,90,90,90,77.564875,cubic,4/m32/m,Pn3m,48,P,3350,220,612,2117,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia","-22.833333333333,118.13333333333",AJES38_261,
Cuproauride,Cuproauride,4160,Cu_3_Au,,Cu Au,2,,1,5437,51,0,1,0,1,0,Cuproauride,,,,,,,1939,2,0.1,,1,,0,,,,,,,,,,,,,,,,0,4,,,,
Cuprobismutite,Cuprobismutite,1004,Cu_8_AgBi_13_S_24_,,Cu Ag Bi S,4,,32,1596,53,0,1,0,1,0,Cuprobismutite,23,3.567,82.042,0.789,2003,55312,1884,6,0.1,gray,1,,1,,17.59,3.9219,15.177,90,100.71,90,1028.765,monoclinic,2/m,C2/m,8,C,698,2389,9,67,"Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco","30.506388888889,-6.7780555555556",PR140_157,
Cuprocopiapite,Cuprocopiapite,1814,Cu^2+^Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O,,Cu Fe S O H,5,2,9,1597,72,0,0,1,0,1,Cuprocopiapite,,,,,,,1938,6,,yellow,2,2.5,0,Copiapite,,,,,,,,,,,,,405,46298,6,43,"Palhal Mine, Branca, Albergaria-a-Velha, Aveiro District, Portugal","0,0",OGR62_54,
Cuproiridsite,Cuproiridsite,1332,Cu^2+^Ir^3+^_2_S^2-^_4_,,Cu Ir S,3,2,15,1598,61,0,1,0,1,0,Cuproiridsite,14,1.379,19.303,0.362,1994,75531,1984,1,0.03,black,1,,1,Spinel,9.8474,9.8474,9.8474,90,90,90,954.915,cubic,4/m32/m,Fd3m,192,F,780,7088,4,38,"Kraubath An Der Mur, Leoben, Styria, Austria","47.2825,14.929722222222",MP73_247,
Cuprokalininite,Cuprokalininite,4161,Cu^2+^Cr^3+^_2_S^2-^_4_,,Cu Cr S,3,2,1,5834,38,3,0,0,1,0,,,,,,,,2010,1,0.02,black,1,5,1,Spinel,9.937846154,9.937846154,9.937846154,90,90,90,981.7115385,cubic,4/m32/m,Fd3m,,F,481,8185,1,7,"Pereval Marble Quarry, Slyudyanka (Sludyanka), Lake Baikal Area, Irkutskaya Oblast', Prebaikalia (Pribaikal'e), Eastern-Siberian Region, Russia","51.633333333333,103.7",P5_338,
Cupromakopavonite,Cupromakopavonite,4162,Cu_8_Ag_3_Pb_4_Bi_19_S_38_,,Cu Ag Pb Bi S,5,,1,5607,53,0,1,0,1,0,Cupromakopavonite,36,4.225,152.117,0.817,,,2005,1,0.01,gray,1,,0,Pavonite,13.3801,4.0007,31.083,90,93.064,90,1661.487,monoclinic,2/m,C2/m,,C,,,0,2,,,,
Cupromakovickyite,Cupromakovickyite,3021,Cu_4_AgPb_2_Bi_9_S_18_,,Cu Ag Pb Bi S,5,,3,5207,"33,53",1,1,0,1,0,Cupromakovickyite,34,4.146,140.974,0.815,2008,160421,2002,1,0.03,white,1,4.5,1,Pavonite,13.405,4.016,29.949,90,99.989,90,1587.848,monoclinic,2/m,C2/m,,C,80.93,1981,1,9,"B?i?a Mining District (Baita Bihor; Rézbánya), Nucet, Bihor Co., Romania","46.481111111111,22.582222222222",MD43_1,
Cupromolybdite,Cupromolybdite,4163,Cu^2+^_3_O(Mo^6+^O_4_)_2_,,Cu O Mo,3,2,1,5935,72,0,0,1,0,1,Cupromolybdite,56,3.522,197.212,0.606,,,2011,1,0.015,orange,2,3,1,Vergasovaite,7.6638,6.867,14.5554,90,90,90,766.012,orthorhombic,2/m2/m2/m,Pnma,,P,3.60E-05,2656,1,8,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Cuproneyite,Cuproneyite,4164,Cu_7_Pb_27_Bi_25_S_68_,,Cu Pb Bi S,4,,1,5713,31,3,0,0,1,0,Cuproneyite,128,6,768,0.857,,,2008,1,0.03,gray,1,3,1,Neyite,37.432,4.0529,43.545,90,108.803,90,6253.62,monoclinic,2/m,C2/m,,C,80.93,1981,1,4,"B?i?a Mining District (Baita Bihor; Rézbánya), Nucet, Bihor Co., Romania","46.481111111111,22.582222222222",MD43_1,
Cupropavonite,Cupropavonite,1670,Cu_0.9_Ag_0.5_Pb_0.6_Bi_2.5_S_5_,,Cu Ag Pb Bi S,5,,13,1599,51,0,1,0,1,0,Cupropavonite,,,,,,,1978,1,0.05,gray,1,,1,Pavonite,13.4225,4.0115,32.965,90,93.685,90,1771.3275,monoclinic,,,,,200.7,3300,2,25,"Campbell Mine (Campbell Shaft), Bisbee, Warren District, Mule Mts, Cochise Co., Arizona, USA","31.424166666667,-109.89444444444",UBCMDRUSP2_1,
Cupropearceite,Cupropearceite,3022,[Cu_6_As_2_S_7_][Ag_9_CuS_4_],,Cu As S Ag,4,,3,5639,72,0,0,1,0,1,Cupropearceite,32,2.499,79.961,0.5,2009,180396,2007,1,0.03,gray,1,3.5,1,Polybasite,7.2567,7.2567,11.8193,90,90,120,539.015,hexagonal,32/m2/m,P3m1,,P,541,2428,2,14,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Cupropolybasite,Cupropolybasite,2458,[Cu_6_Sb_2_S_7_][Ag_9_CuS_4_],,Cu Sb S Ag,4,,5,5663,72,0,0,1,0,1,Cupropolybasite,32,2.499,79.961,0.5,,,2008,1,0.035,gray,1,3.5,1,Polybasite,7.3277,7.3277,11.7752,90,90,120,547.563,hexagonal,32/m2/m,P3m1,,P,541,2428,2,18,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Cuprorhodsite,Cuprorhodsite,1101,Cu^2+^Rh^3+^_2_S^2-^_4_,,Cu Rh S,3,2,26,1600,61,0,1,0,1,0,Cuprorhodsite,14,1.379,19.303,0.362,1976,41900,1984,1,0.03,black,1,,1,Spinel,9.816833333,9.816833333,9.826871667,90,90,90,947.0276667,cubic,4/m32/m,Fd3m,192,F,780,7088,2,44,"Kraubath An Der Mur, Leoben, Styria, Austria","47.2825,14.929722222222",MP73_247,
Cuprorivaite,Cuprorivaite,2000,CaCu^2+^Si_4_O_10_,,Ca Cu Si O,4,2,7,1601,"24,72",0,,1,,1,Cuprorivaite,64,2.375,152,0.396,1995,402012,1938,2,0.01,blue,2,5,1,,7.3017,7.3017,15.1303,90,90,90,806.669,tetragonal,4/m2/m2/m,P4/ncc,,P,354,13795,6,25,"Nickenicher Sattel (Eicher Sattel), Nickenich, Andernach, Eifel, Rhineland-Palatinate, Germany","50.425833333333,7.3261111111111",,
Cuprosklodowskite,Cuprosklodowskite,705,Cu^2+^(U^6+^O_2_)_2_(SiO_3_OH)_2_·6H_2_O,,Cu U O Si H,5,2,56,1602,72,0,0,1,0,1,Cuprosklodowskite,23,3.567,82.042,0.789,1975,4350,1933,2,3,green,2,4,1,,7.051,9.2535,6.6525,109.11,89.805,109.795,383.063,triclinic,1,P1,2,P,1510,515,20,107,"Port Radium District, Great Bear Lake, Mackenzie District, Northwest Territories, Canada","66.045833333333,-117.97638888889",CJES19_1428,
Cuprospinel,Cuprospinel,4165,Cu^2+^Fe^3+^_2_O_4_,,Cu Fe O,3,2,1,1603,72,0,0,1,0,1,Cuprospinel,14,1.379,19.303,0.362,1971,24872,1971,1,0.01,black,1,6.5,1,Spinel,8.382,8.382,8.382,90,90,90,588.9055,cubic,4/m32/m,Fd3m,,F,,,0,4,,,,
Cuprostibite,Cuprostibite,1507,"Cu_2_(Sb,Tl)",,Cu Sb Tl,3,,10,1604,"18,52",0,1,0,1,0,Cuprostibite,6,1.585,9.51,0.613,1985,42323,1969,1,0.015,gray,1,4,1,,3.996533333,3.996533333,6.096433333,90,90,90,97.37433333,tetragonal,4/m2/m2/m,P4/nmm,16,P,1900,10588,5,38,"Getberg Mine, Långban District, Filipstad, Värmland, Sweden","0,0",MD29_150,
Cuprotungstite,Cuprotungstite,666,Cu^2+^_3_(WO_4_)_2_(OH)_2_,,Cu W O H,4,2,64,1605,72,0,0,1,0,1,Cuprotungstite,,,,,,,1869,6,0.003,green,2,5,0,,8.93,8.93,14.48,90,90,90,1154.706,tetragonal,422,P41212,8,P,1855,72,10,101,"Broken Hill, Yancowinna Co., New South Wales, Australia","-31.966111111111,141.46777777778",EG100_633,
Cyanochroite,Cyanochroite,2459,K_2_Cu^2+^(S^6+^O_4_)_2_·6H_2_O,,K Cu S O H,5,2,4,1611,"22,72",0,1,1,0,1,Cyanochroite,62,3.986,247.16,0.67,1972,2925,1855,6,,blue,2,2.5,1,Picromerite,9.079033333,12.1304,6.158466667,90,104.4333333,90,656.8403333,monoclinic,2/m,P21/a,,P,102,11356,3,18,"Giant Mascot Mine, Hope, New Westminster Mining Division, British Columbia, Canada","49.464444444444,-121.51361111111",EMBC2002_65,
Cyanotrichite,Cyanotrichite,381,Cu^2+^_4_Al_2_S^6+^O_4_(OH)_12_·2H_2_O,,Cu Al S O H,5,2,162,1613,72,0,0,1,0,1,Cyanotrichite,,,,,,,1839,6,3,blue,4,3,0,Cyanotrichite,,,,,,,,,,,,,2100,2778,39,258,"Udokan Cu Deposit (Udokanskoe), Udokan, Chitinskaya Oblast', Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia","56.583333333333,118.5",USGSOFR03_107,
Cyprine,Cyprine,5068,Ca_19_Cu^2+^(Al_10_Mg_2_)Si_18_O_68_(OH)_10_,,Ca Cu Al Mg Si O H,7,2,7,6459,72,0,0,1,0,1,Cyprine,,,,,,,2015,1,,blue,,,0,Vesuvianite,15.5173,15.5173,11.823,90,90,90,2846.82,tetragonal,4/m,P4/n,,P,,,0,2,,,,
Danbaite,Danbaite,4171,CuZn_2_,,Cu Zn,2,,1,1624,"11,71",0,,,1,,Danbaite,,,,,,,1981,1,0.02,white,1,4.2,0,,7.7615,7.7615,7.7615,90,90,90,467.56,cubic,,,,,252.1,730,1,6,"Yangliuping Cu-Ni-PGE Deposit, Yangliuping Cu-Ni-PGE Ore Field, Danba Co., Garzê Autonomous Prefecture (Ganzi Autonomous Prefecture), Sichuan Province, China","30.660555555556,101.86138888889",MD26_550,
Danielsite,Danielsite,4172,"(Cu,Ag)_14_HgS_8_",,Cu Ag Hg S,4,,1,1626,"53,78",0,1,1,1,0,Danielsite,,,,,,,1984,1,0.002,gray,1,2.5,0,,9.644,9.18,18.156,90,90,90,1607.386,orthorhombic,,,,,65,220,1,5,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia","-22.833333333333,118.13333333333",,
Daomanite,Daomanite,2689,CuPtAsS_2_,,Cu Pt As S,4,,4,5082,"12,51",0,1,0,1,0,Daomanite,10,2.322,23.219,0.699,,,1974,1,0.03,gray,1,3.5,1,,5.891,16.053,3.713,90,90,90,351.0855,orthorhombic,,,,,2490,2725,1,10,"Monchegorsk Cu-Ni Deposit, Monchegorsk, Monche-Tundra, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia","67.9225,32.838888888889",EG105_1057,
Decrespignyite-(Y),Decrespignyite-(Y),4180,Y^3+^_4_Cu^2+^(CO_3_)_4_Cl(OH)_5_·2H_2_O,,Y Cu C O Cl H,6,2,1,1643,72,0,0,1,0,1,Decrespignyite-(Y),,,,,,,2001,1,0.005,blue,2,4,0,,8.899,22.77,8.589,90,120.06,90,1506.3,monoclinic,,,,,,,0,3,,,,
Delafossite,Delafossite,445,Cu^1+^Fe^3+^O_2_,,Cu Fe O,3,1,129,1646,72,0,0,1,0,1,Delafossite,4,1.5,6,0.75,2009,163255,1873,6,0.8,brown,1,5.5,1,,5.9695,5.9695,5.9695,29.383,29.383,29.383,45.319,hexagonal,32/m2/m,R3m,18,R,2498,15187,57,295,"Malanjkhand Mine, Padritola, Baihar Tehsil, Balaghat District, Madhya Pradesh, India","22.016666666667,80.716666666667",USGSOFR2008_1155,
Deloryite,Deloryite,4182,Cu^2+^_4_(U^6+^O_2_)(Mo^6+^O_4_)_2_(OH)_6_,,Cu U O Mo H,5,2,1,1652,72,0,0,1,0,1,Deloryite,23,3.219,74.042,0.712,1996,81555,1990,1,0.3,green,2,4,1,,19.94,6.116,5.52,90,104.18,90,652.67,monoclinic,2/m,C2/m,,C,251,1747,1,5,"Cap Garonne Mine, Le Pradet, Var, Provence-Alpes-Côte D'Azur, France","43.081111111111,6.035",TP177_59,
Demesmaekerite,Demesmaekerite,3452,Pb^2+^_2_Cu^2+^_5_(U^6+^O_2_)_2_(Se^4+^O_3_)_6_(OH)_6_·2H_2_O,,Pb Cu U O Se H,6,2,2,1654,72,0,0,1,0,1,Demesmaekerite,45,4.514,203.133,0.822,1983,37177,1965,2,1,green,2,4,1,,11.9425,10.036,5.6355,89.775,100.375,91.37,664.2095,triclinic,1,P1,,P,675,4322,2,11,"Musonoi Mine, Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.7,25.383333333333",OGR40_81,
Derriksite,Derriksite,4188,Cu^2+^_4_(U^6+^O_2_)(Se^4+^O_3_)_2_(OH)_6_,,Cu U O Se H,5,2,1,1658,72,0,0,1,0,1,Derriksite,42,3.916,164.477,0.726,1983,38076,1971,1,0.07,green,2,,1,,5.57705,19.102,5.97045,90,90,90,636.0505,orthorhombic,2mm,Pn21m,,P,675,4322,1,6,"Musonoi Mine, Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.7,25.383333333333",OGR40_81,
Devilline,Devilline,227,CaCu^2+^_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O,,Ca Cu S O H,5,2,330,1664,72,0,0,1,0,1,Devilline,192,5.585,1072.313,0.736,1972,2764,1864,6,1,green,2,2.5,1,Devilline,20.8485,6.133,22.1875,90,102.715,90,2767.409,monoclinic,2/m,P21/c,4,P,2200,10618,109,455,"Viscaria Mine, Kiruna, Lappland, Sweden","67.848611111111,20.003611111111",USGSOFR2009_1034,
