Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Allochalcoselite,Allochalcoselite,3949,Cu^1+^Cu^2+^_5_Pb^2+^O_2_(Se^4+^O_3_)_2_Cl_5_,,Cu Pb O Se Cl,5,"1,2",1,5282,"22,72",0,1,1,0,1,Allochalcoselite,44,4.232,186.215,0.775,2006,156654,2004,1,0.01,brown,3,3.5,1,,18.468,6.1475,15.314,90,119.284,90,1516.443,monoclinic,2/m,C2/m,,C,3.60E-05,20412,1,7,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.743055555556,160.27333333333",BV43_47,
Alumoklyuchevskite,Alumoklyuchevskite,2954,K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_,,K Cu Al O S,5,2,1,857,"22,72",0,1,1,0,1,Alumoklyuchevskite,58,4.892,283.763,0.835,2008,164217,1993,1,0.1,green,2,2.3,1,Klyuchevskite,18.625,5.015333333,18.52266667,90,101.7233333,90,1693.817,monoclinic,2,I2,,I,3.60E-05,2656,1,8,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Ammineite,Ammineite,2958,Cu^2+^Cl_2_(N^3-^H_3_)_2_,,Cu Cl N H,4,2,3,5692,"72,85,89",0,0,1,0,1,Ammineite,22,2.369,52.107,0.531,2010,180189,2008,1,1,blue,2,1,1,,7.7645,10.65,5.8175,90,90,90,481.108,orthorhombic,2/m2/m2/m,Cmcm,,C,,,0,6,,,,
Andreadiniite,Andreadiniite,3960,CuHgAg_7_Pb_7_Sb_24_S_48_,,Cu Hg Ag Pb Sb S,6,,1,6345,0,,,,,,Andreadiniite,,,,,,,2014,1,,,,,0,Lillianite,19.0945,17.0255,12.9794,90,90.029,90,4219.517,monoclinic,2/m,P21/c,,P,27,241238,1,8,"Sant'Olga Tunnel, Monte Arsiccio Mine, Sant'Anna Di Stazzema, Stazzema, Apuan Alps, Lucca Province, Tuscany, Italy","43.966666666667,10.283333333333",EJM7_417,
Andychristyite,Andychristyite,3962,Pb^2+^Cu^2+^Te^6+^O_5_(H_2_O),,Pb Cu Te O H,5,2,1,6425,72,0,0,1,0,1,Andychristyite,24,3.585,86.039,0.782,,,2015,1,***In press,,,,0,,5.322,7.098,7.511,83.486,76.279,70.742,260.02,triclinic,1,P1,,P,946,87939,1,6,"Aga Mine, Otto Mountain, Baker, San Bernardino Co., California, USA","35.272222222222,-116.095",GSAB101_1574,
Andyrobertsite,Andyrobertsite,3963,KCd^2+^Cu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O,,K Cd Cu As O H,6,2,1,889,72,0,0,1,0,1,Andyrobertsite,80,4.522,361.754,0.715,,,1997,1,,blue,2,3,1,Andyrobertsite,9.8101,10.0382,9.9769,90,101.763,90,961.857,monoclinic,2/m,P21/m,,P,541,2428,1,4,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Ángelaite,Angelaite,2962,Cu_2_AgPbBiS_4_,,Cu Ag Pb Bi S,5,,3,5262,51,0,1,0,1,0,Ángelaite,36,3.17,114.117,0.613,,,2003,1,0.01,green,1,,1,Galenobismutite,12.734,4.032,14.633,90,90,90,751.309,orthorhombic,2/m2/m2/m,Pnma,,P,2058,2661,1,8,"Pitkyaranta District (Pitkäranta District), Ladoga Region, Karelia Republic, Northern Region, Russia","61.549722222222,31.5",PR51_265,
Anilite,Anilite,637,Cu_7_S_4_,,Cu S,2,,68,893,53,0,1,0,1,0,Anilite,44,2.914,128.215,0.534,,,1969,1,0.5,gray,1,3,1,Digenite,7.8895,7.838,11.0145,90,90,90,681.1135,orthorhombic,2/m2/m2/m,Pnma,8,P,2498,15187,26,182,"Malanjkhand Mine, Padritola, Baihar Tehsil, Balaghat District, Madhya Pradesh, India","22.016666666667,80.716666666667",USGSOFR2008_1155,
Annivite,Annivite,2427,"Cu_10_(Fe,Zn)_2_Bi_4_S_13_",,Cu Fe Zn Bi S,5,1,4,5372,51,0,1,0,1,0,Annivite,,,,,,,1854,6,,,,,0,Tennantite,,,,,,,,,,,,,1500,559,1,14,"Vermilion Mine, Denison Township, Sudbury District, Ontario, Canada","46.415555555556,-81.361388888889",USGSOFR2009_1034,
Anthonyite,Anthonyite,2246,Cu^2+^(OH)_2_·3H_2_O,,Cu O H,3,2,6,902,72,0,0,1,0,1,Anthonyite,,,,,,,1963,2,1,purple,2,2,0,Anthonyite,,,,,,,,,,,,,1080,3844,5,29,"Centennial Mine, Centennial, Houghton Co., Michigan, USA","47.258333333333,-88.428611111111",EG83_619,
Antipinite,Antipinite,3967,KNa_3_Cu^2+^_2_(C_2_O_4_)_4_,,K Na Cu C O,5,2,1,6323,85,0,0,1,0,1,Antipinite,60,4.907,294.413,0.831,,,2014,1,0.01,blue,2,2,0,,7.1574,10.7099,11.132,113.093,101.294,90.335,766.507,triclinic,1,P1,,P,,,0,2,,,,
Antlerite,Antlerite,305,Cu^2+^_3_SO_4_(OH)_4_,,Cu S O H,4,2,220,908,72,0,0,1,0,1,Antlerite,64,3.5,224,0.583,2003,96349,1889,4,1,green,2,3.5,1,,8.263375,6.0602,12.02015,90,90,90,601.94925,orthorhombic,2/m2/m2/m,Pnma,8,P,2715,257036,70,410,"Louvem Mine, Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada","48.099722222222,-77.516388888889",USGSOFR2009_1034,
Apachite,Apachite,2963,Cu^2+^_9_Si_10_O_29_·11H_2_O,,Cu Si O H,4,2,3,910,72,0,0,1,0,1,Apachite,,,,,,,1980,1,1,blue,2,2,0,,12.89,6.055,19.11,90,90.42,90,1491.475,monoclinic,,,,,64,3326,1,12,"Christmas Mine (Red Bird Shafts; Inspiration Mine; Hackberry Shafts), Christmas, Christmas Area, Banner District, Dripping Spring Mts, Gila Co., Arizona, USA","33.058333333333,-110.74583333333",USGSOFR2008_1155,
Arcubisite,Arcubisite,2428,Ag_6_CuBiS_4_,,Ag Cu Bi S,4,,5,923,5,0,1,0,1,0,Arcubisite,,,,,,,1976,1,0.005,gray,1,,0,,,,,,,,,,,,,,1257,1958,1,15,"Ivigtut Cryolite Deposit, Ivittuut (Ivigtut), Arsuk Fjord, Sermersooq, Greenland","61.206111111111,-48.175555555556",L51_205,
Argentotennantite,Argentotennantite,1889,"Ag_6_Cu_4_(Fe,Zn)_2_As_4_S_13_",,Ag Cu Fe Zn As S,6,1,9,931,51,0,1,0,1,0,Argentotennantite,29,2.029,58.842,0.418,1993,39692,1986,1,0.01,gray,1,3.4,0,Tennantite,10.584,10.584,10.584,90,90,90,1185.631,cubic,43m,I43m,,I,1800,10058,3,31,"Chisel Lake Mine, Snow Lake District, Manitoba, Canada","54.833333333333,-100.28333333333",USGSOFR2009_1034,
Arhbarite,Arhbarite,2642,Cu^2+^_2_MgAs^5+^O_4_(OH)_3_,,Cu Mg As O H,5,2,2,934,72,0,0,1,0,1,Arhbarite,,,,,,,1982,1,0.05,blue,2,,0,Gilmarite,5.314666667,5.979,5.030333333,113.5666667,97.19333333,89.30333333,145.2333333,triclinic,1,P1,,P,615,2390,1,10,"Aghbar Mine (Arhbar Mine), Aghbar, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco","30.525,-6.8186111111111",EG77_162,
Arsentsumebite,Arsentsumebite,978,Pb^2+^_2_Cu^2+^(As^5+^O_4_)(SO_4_)(OH),,Pb Cu As O S H,6,2,32,958,"54,72",0,1,1,0,1,Arsentsumebite,28,3.522,98.606,0.733,2002,95489,1935,2,0.2,green,2,3.5,1,Brackebuschite,7.82325,5.89675,8.95025,90,112.1975,90,382.27075,monoclinic,2/m,P21/m,4,P,1855,73,10,89,"Block 14 Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.959166666667,141.475",EG100_633,
