Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
1127,Bijvoetite-(Y),4,5,6,4,1127,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,,yellow,2,2,sheet,,21.234,12.958,44.911,90,90,90,12357,monoclinic,2,B21,B,2615
1131,Billietite,4,4,6,38,1131,72,FALSE,FALSE,TRUE,FALSE,TRUE,120,4.907,588.827,0.71,FALSE,0.005,yellow,3,,sheet,,12.0941,30.211,7.1563,90,90,90,2614.7,orthorhombic,mm2,Pbn21,P,675
1153,Blatonite,36,4,6,2,1153,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.1,canary-yellow,silky,2-3,,,15.79,15.79,23.93,90,90,120,5167,hexagonal,,,,330.6
6227,Bluelizardite,8,6,6,1,6227,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,148,5.236,774.999,0.726,TRUE,0.4,pale yellow,2,2,cluster,,21.1507,5.3469,34.6711,90,104.913,90,3788.91,monoclinic,2/m,C2/c,C,0
6320,Bobcookite,1,6,6,2,6320,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.2,greenish-yellow,2,2.5,chain,,7.7912,10.5491,11.2451,68.961,70.909,87.139,812.79,triclinic,-1,P-1,P,0
1172,Boltwoodite,2,6,6,64,1172,"16,72",FALSE,FALSE,TRUE,FALSE,TRUE,20,3.322,66.439,0.769,FALSE,1,yellow,2,3.5-4,sheet,,7.0772,7.0597,6.6479,90,104.982,90,320.9,monoclinic,2/m,P21/m,P,1742
1206,Brannerite,2,3,4,242,1206,"16,52,53,61",FALSE,TRUE,FALSE,TRUE,FALSE,9,2.281,20.529,0.72,TRUE,30,brownish-yellow,2,4.5,chain,Brannerite,9.8123,3.7697,6.9253,90,118.957,90,224.138,monoclinic,2/m,C2/m,C,3074
6524,Braunerite,,6,6,1,6524,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,2305.36,,TRUE,,yellow,2,,,,17.6725,11.6065,29.673,90,101.78,90,5958.22,monoclinic,2/m,P21/b,P,270
1288,Calciouranoite,,6,6,4,1288,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,brown,greasy-dull,4,,Wölsendorfite,,,,,,,,,,,,142
5414,Calcioursilite,,5,6,1,5414,"53,72",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,5,,,Ursilite,,,,,,,,,,,,
