Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
2846,Liebigite,8,5,6,76,2846,72,FALSE,FALSE,TRUE,FALSE,TRUE,112,4.843,542.424,0.711,FALSE,,apple-green,2,2-2.5,sheet,,16.699,17.557,13.697,90,90,90,4015.746,orthorhombic,mm2,Bba2,B,1900
6121,Línekite,8,6,6,1,6121,72,FALSE,FALSE,TRUE,TRUE,FALSE,352,5.675,1997.72,0.671,FALSE,0.0005,olive,2,2-3,sheet,,17.0069,18.0273,18.3374,90,90,90,5622.1,orthorhombic,2/m2/m2/m,Pnnm,P,0
6689,Magnesioleydetite,,5,6,1,6689,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,,11.3513,7.731,21.7957,90,102.387,90,1868.2,monoclinic,2/m,C2/c,C,
2963,Magnesiozippeite,4,5,6,13,2963,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,70,4.444,311.05,0.725,FALSE,0.0002,orange,2,2,sheet,Zippeite,8.7005,14.2541,8.8433,90,104.408,90,1062.24,monoclinic,2/m,C2/m,C,0
5409,Magnioursilite,,5,6,1,5409,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,2,2-3,,Ursilite,14.28,17.93,18.3,,,,,,,,,
3024,Marécottite,1,5,6,10,3024,72,FALSE,FALSE,TRUE,FALSE,TRUE,83,5.411,449.128,0.849,FALSE,0.0003,yellow-orange,2,3,sheet,,10.8084,11.2519,13.8465,66.222,72.424,70.014,1421.57,triclinic,-1,P-1,P,0
3025,Margaritasite,2,5,6,1,3025,"21,5",FALSE,FALSE,TRUE,TRUE,FALSE,36,3.17,114.117,0.613,FALSE,0.00003,yellow,,,sheet,,10.514,8.425,7.252,90,106.01,90,617.5,monoclinic,2/m,P21/ a,P,33.9
5774,Markcooperite,2,4,6,2,5774,72,FALSE,FALSE,TRUE,FALSE,TRUE,24,2.752,66.039,0.6,FALSE,0.0003,orange,3,3,sheet,,5.722,7.747,7.889,90,90.833,90,349.7,monoclinic,2/m,P21/c,P,946
6616,Markeyite,,5,6,1,6616,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,,17.969,18.4705,10.1136,90,90,90,,orthorhobic,2/m2/m2/m,Pmmn,P,
3035,Marthozite,4,5,6,3,3035,72,FALSE,FALSE,TRUE,FALSE,TRUE,112,4.807,538.424,0.706,FALSE,0.004,yellow-green,,,sheet,,6.9879,16.4537,17.2229,90,90,90,1980.2,orthorhobic,mm2,Pbn21,P,675
3042,Masuyite,2,4,6,21,3042,72,FALSE,FALSE,TRUE,FALSE,TRUE,38,4.248,161.421,0.809,FALSE,0.002,orange,2,,sheet,,12.241,7.008,6.983,90,90.402,90,599,monoclinic,m,Pn,P,675
6210,Mathesiusite,2,6,6,1,6210,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,100,3.684,368.386,0.554,FALSE,0.0002,yellow-green,2,2,sheet,,14.9704,14.9704,6.817,90,90,90,1527.78,tetragonal,4/m,P4/n,P,0
6204,Meisserite,2,5,6,1,6204,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,64,5.031,322,0.839,TRUE,0.0003,green,2,2,chain,,5.32317,11.5105,13.5562,102.864,97.414,91.461,801.739,triclinic,-1,P-1,P,0
3111,Meta-ankoleite,1,5,6,10,3111,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,2,2-3,,Natroautunite,6.993,6.993,8.891,90,90,90,434.8,tetragonal,4/m2/m2/m,P4/nmm,P,1180
3112,Meta-autunite,4,5,6,379,3112,"72,75",FALSE,FALSE,TRUE,FALSE,TRUE,26,2.47,64.211,0.525,FALSE,,green,6,2-2.5,,Meta-autunite,6.96,6.96,8.4,90,90,90,406.909,tetragonal,4/m2/m2/m,P4/nmm,P,1880.7
3117,Metacalciouranoite,,6,6,1,3117,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,Wölsendorfite,,,,,,,,,,,,142
3120,Metahaiweeite,,6,6,2,3120,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,510
3121,Metaheinrichite,2,5,6,19,3121,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow-green,2,2.5,,,7.07,7.07,17.74,90,90,90,885.23,tetragonal,"4,4/m,422","P42,P42/m,P42 22",P,387
3124,Metakahlerite,2,5,6,16,3124,72,FALSE,FALSE,TRUE,FALSE,TRUE,48,2.252,108.078,0.403,TRUE,,yellow,,2-3,,,7.2072,9.8242,13.2708,75.67,84.024,81.839,897.678,triclinic,-1,P-1,P,354
3125,Metakirchheimerite,2,5,6,6,3125,72,FALSE,FALSE,TRUE,FALSE,TRUE,50,4.644,232.193,0.823,FALSE,0.00005,pale-pink,2,2-2.5,,,7.1955,9.7715,13.2319,75.525,84.052,81.661,889.083,triclinic,-1,P-1,P,270
3127,Metalodèvite,,5,6,6,3127,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,yellow-green,6,2-3,,,7.16,7.16,17.2,90,90,90,,tetragonal,4/m,P42/m,P,1180
5060,Metanatroautunite,4,5,6,7,5060,"58,72",FALSE,FALSE,TRUE,FALSE,TRUE,48,2.252,108.078,0.403,FALSE,0.0007,yellow,2,2-2.5,sheet,,6.9935,6.9935,17.5101,90,90,90,856.402,tetragonal,4/m2/m2/m,P4/ncc,P,398
3129,Metanováčekite,,5,6,26,3129,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,2,2.5,,,7.201,9.755,13.27,75.54,83.84,81.87,891,triclinic,-1,P-1,P,1814
5710,Metarauchite,2,5,6,5,5710,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0008,yellow-green,2,2,sheet,Autunite,7.194,9.713,13.201,75.79,83.92,81.59,882.2,triclinic,-1,P-1,P,356
5423,Metasaléeite,,5,6,10,5423,75,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,yellow,,2.0-3,,,,,,,,,,,,,,675
3132,Metaschoepite,8,3,6,14,3132,75,FALSE,FALSE,TRUE,FALSE,TRUE,196,4.676,916.483,0.614,FALSE,,yellow,2,,sheet,,14.6801,14.0287,16.7196,90,90,90,3443.28,orthorhombic,2/m2/m2/m,Pbcn,P,675
3135,Metastudtite,4,3,6,2,3135,"47,72,75",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.000001,yellow,6,,chain,,8.677,6.803,8.506,90,90,90,502.06,orthorhombic,2/m2/m2/m,Pnma,P,675
3137,Metatorbernite,2,5,6,429,3137,"72,75",FALSE,FALSE,TRUE,FALSE,TRUE,50,3.364,168.193,0.596,FALSE,2,green,2,2.5,sheet,,6.96519,6.96519,17.3102,90,90,90,839.785,orthorhombic,4/m,P4/n,P,1757
3138,Metatyuyamunite,4,5,6,126,3138,"72,75",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.003,yellow,3,2,,Fritzscheite,10.63,8.36,16.96,90,90,90,,orthorhombic,,,,1700
5506,Metauramphite,,5,6,0,5506,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,
3113,Metauranocircite-I,2,5,6,37,3113,72,FALSE,FALSE,TRUE,FALSE,TRUE,48,4.585,220.078,0.821,FALSE,2,yellow,waxy,2-2.5,sheet,,6.943,17.634,6.952,90,90.023,90,851.2,monoclinic,2,P21,P,
3114,Metauranopilite,,4,6,6,3114,"72,75",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,,,,,,,,,,,,,,,,270
3115,Metauranospinite,2,5,6,13,3115,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,6,2-3.0,,,7.14,7.14,17,90,90,90,866.65,tetragonal,4/m,P42/n,P,354
3139,Metavandendriesscheite,,4,6,2,3139,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,amber-yellow,,3,,,14.07,41.31,43.33,90,90,90,25185,orthorhombic,"2/m2/m2/m,mm2,mm2","Pmma,P21ma,Pm2a",P,675
3140,Metavanmeersscheite,32,4,6,5,3140,"72,75",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0004,yellow,,,sheet,,34.18,33.88,14.074,90,90,90,16293.32,orthorhombic,2/m2/m2/m,Fddd,F,975.3
3141,Metavanuralite,2,5,6,3,3141,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,4,,,,10.46,8.44,10.43,75.53,102.5,90,869.24,triclinic,-1,P-1,P,
3146,Metazellerite,4,5,6,4,3146,75,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,chalky,,,,9.718,18.226,4.965,90,90,90,879.5,orthorhombic,"mm2,2/m2/m2/m","Pmn21,Pmnm",P,270
3147,Metazeunerite,2,5,6,176,3147,72,FALSE,FALSE,TRUE,FALSE,TRUE,82,3.797,311.319,0.597,TRUE,3.5,green,2,2-2.5,sheet,,7.1049,7.1049,17.416,90,90,90,880.267,tetragonal,4/m,P4/n,P,1850
3184,Moctezumite,4,4,6,1,3184,72,FALSE,FALSE,TRUE,FALSE,TRUE,48,3.585,172.078,0.642,FALSE,0.003,orange,dull,3,chain,,7.813,7.061,13.775,90,93.71,90,758.341,monoclinic,2/m,P21/c,P,48
3191,Moluranite,,4,"4,6",3,3191,"72,78",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,black,4,3-4,,,,,,,,,,,,,,1880.7
3227,Moreauite,16,5,6,2,3227,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,yellowish-green,2,,,,23.41,21.44,18.34,90,92,90,,monoclinic,2/m,P21/c,P,975.3
3243,Mourite,4,4,6,2,3243,"72,78,87",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,violet,3,3,,,24.42,7.183,9.893,90,102,90,,monoclinic,"m,2/m","Pa,P2/a",P,416
3255,Mundite,16,5,6,2,3255,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,yellow,2,,,,17.08,30.98,13.76,90,90,90,7280.94,orthorhombic,"mm2,2/m2/m2/m","P21cn,Pmcn",P,975.3
4133,Natroboltwoodite,,5,6,2,4133,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,dull,,sheet,,7.0772,7.0597,6.6479,90,104.982,90,320.9,monoclinic,2/m,P21/m,P,418
4135,Natrouranospinite,1,5,6,12,4135,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,2,yellow,2,2-3,,Natroautunite,7.12,7.12,8.61,90,90,90,436.48,tetragonal,4/m2/m2/m,P4/nmm,P,600
4136,Natrozippeite,,5,6,40,4136,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,276,6.109,1685.95,0.753,FALSE,,yellow,dull,5-5.5,sheet,Zippeite,17.6425,14.6272,17.6922,90,104.461,90,4421,monoclinic,2/m,P21/n,P,725
3344,Nickelzippeite,,5,6,5,3344,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,,5-5.5,,Zippeite,,,,,,,,,,,,0
5602,Nielsbohrite,4,5,6,1,5602,72,FALSE,FALSE,TRUE,FALSE,TRUE,44,3.278,144.215,0.6,FALSE,0.00015,yellow,2,2,framework,,8.193,11.43,13.5,90,90,90,1264.221,orthorhombic,2/m2/m2/m,Cccm,C,313
3390,Nováčekite-I,1,5,6,55,3390,72,FALSE,FALSE,TRUE,FALSE,TRUE,29,3.892,112.881,0.801,FALSE,,yellow,2,2.5,sheet,,7.1594,7.161,11.3146,81.391,81.177,88.884,566.756,triclinic,-1,P-1,P,615
5432,Nováčekite-II,2,5,6,4,5432,72,FALSE,FALSE,TRUE,FALSE,TRUE,54,3.792,204.764,0.659,FALSE,,yellow,4,2-2.5,sheet,,7.1328,20.085,7.1569,90,90.585,90,1025.26,monoclinic,2/m,P21/n,P,387
6371,Oppenheimerite,2,5,6,2,6371,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellowish-green,2,2.5,chain,,7.9576,8.1952,9.8051,65.967,70.281,84.516,549.1,triclinic,-1,P-1,P,0
3444,Orthobrannerite,1,4,"4,6",6,3444,"72,78",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,1.2,black,3,5.5,,Brannerite,7.37,11.67,6.33,90,90,90,544.43,orthorhombic,,,,2500
3454,Orthowalpurgite,4,5,6,2,3454,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,92,3.741,344.168,0.573,FALSE,0.0003,yellow,3,4.5,chain,,5.492,13.324,20.685,90,90,90,1513.633,orthorhombic,2/m2/m2/m,Pbcm,P,250
3461,Oswaldpeetersite,4,4,6,1,3461,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,yellow,2,2-3,,,4.1425,14.098,18.374,90,103.62,90,1042.8,monoclinic,2/m,P21/c,P,
6496,Ottohahnite,2,5,6,1,6496,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,yellowish-green,2,2.5,cluster,,9.97562,11.6741,14.2903,113.518,104.282,91.4,1464.59,triclinic,-1,P-1,P,0
3469,Oursinite,4,5,6,1,3469,72,FALSE,FALSE,TRUE,FALSE,TRUE,74,3.804,281.5,0.613,TRUE,0.0001,yellow,2,3-3.5,sheet,,7.0494,17.55,12.734,90,90,90,1575.412,orthorhombic,2/m2/m2/m,Cmca,C,675
5130,Paraschoepite,,3,6,7,5130,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,3,2-3,,,14.12,16.83,15.22,90,90,90,3617,orthorhombic,2/m2/m2/m,Pbca,P,675
3547,Parsonsite,2,4,6,61,3547,72,FALSE,FALSE,TRUE,FALSE,TRUE,30,3.907,117.207,0.796,FALSE,0.003,honey-yellow,3,2.5-3,chain,,6.8432,10.4105,6.6718,101.418,98.347,86.264,460.639,triclinic,-1,P-1,P,1757
5681,Paulscherrerite,4,3,6,3,5681,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,,,sheet,,4.288,10.27,6.885,90,90.39,90,303.2,monoclinic,"m,2,2/m,2/m","P2,P21,P2/m,P21/m",P,394
6488,Péligotite,2,5,6,1,6488,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,12,2.585,31.02,0.721,FALSE,0.0005,yellowish-green,2,2.5,cluster,,9.81511,9.9575,10.6289,88.68,73.99,89.205,998.22,triclinic,-1,P-1,P,0
3602,Petscheckite,1,4,4,5,3602,"16,47",FALSE,TRUE,FALSE,TRUE,FALSE,,,,,TRUE,4,black,,5,,,6.42,6.42,4.02,90,90,120,143.49,hexagonal,-32/m,P-31m,P,
5353,Phosphowalpurgite,1,5,6,3,5353,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,brownish-gray,2,<5,chain,,7.06,10.238,5.464,101.22,109.93,87.93,364,triclinic,-1,P-1,P,270
3628,Phosphuranylite,4,6,6,180,3628,72,FALSE,FALSE,TRUE,FALSE,TRUE,118,4.357,514.152,0.633,TRUE,,yellow,2,2.5,framework,Phosphuranylite,15.779,13.702,17.253,90,90,90,3730.17,orthorhombic,2/m2/m2/m,Cmcm,C,1700
3629,Phuralumite,4,5,6,2,3629,72,FALSE,FALSE,TRUE,FALSE,TRUE,148,5.209,770.999,0.723,FALSE,0.0005,yellow,2,3,sheet,,13.836,20.918,9.428,90,112.44,90,2522.05,monoclinic,2/m,P21/a,P,975.3
3630,Phurcalite,8,5,6,22,3630,72,FALSE,FALSE,TRUE,FALSE,TRUE,240,4.907,1177.65,0.621,FALSE,0.005,yellow,2,3,sheet,Phosphuranylite,17.415,16.035,13.598,90,90,90,3797.235,orthorhombic,2/m2/m2/m,Pbca,P,1575
3647,Piretite,4,5,6,2,3647,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.003,yellow,6,2.5,,,7.01,17.135,17.606,90,90,90,2114.8,orthorhombic,"mm2,2/m2/m2/m","Pmn2,Pmnm",P,675
6330,Plášilite,4,5,6,2,6330,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellowish-green,2,2-3,sheet,,8.7122,13.8368,7.0465,90,112.126,90,786.89,monoclinic,2/m,P21/c,P,0
6461,Plavnoite,8,6,6,1,6461,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,reddish-orange,2,2,sheet,Zippeite,8.6254,14.258,17.703,90,104.052,90,2122,monoclinic,2/m,C2/c,C,330.6
3718,Protasite,2,4,6,5,3718,72,FALSE,FALSE,TRUE,FALSE,TRUE,36,4.17,150.117,0.807,FALSE,0.0005,orange,3,,sheet,,12.2949,7.2206,6.9558,90,90.401,90,647.497,monoclinic,m,Pn,P,675
3723,Przhevalskite,,5,6,2,3723,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,3,2-3,,,7.24,7.24,18.22,90,90,90,,tetragonal,,,,145
5473,Pseudojohannite,1,5,6,9,5473,72,FALSE,FALSE,TRUE,FALSE,TRUE,43,4.45,191.329,0.82,FALSE,0.005,green,,,sheet,,8.6653,8.8499,9.9908,72.103,70.512,76.07,679.12,triclinic,-1,P-1,P,0
3771,Rabbittite,8,6,6,6,3771,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,green,silky,2.5,,,32.6,23.8,9.45,90,90,90,7332.07,monoclinic,,,,356
3772,Rabejacite,1,5,6,11,3772,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,yellowish-orange,2,3,sheet,Zippeite,8.7434,8.309,8.8693,77.86,104.635,82.935,598.8,triclinic,-1,P-1,P,1757
3782,Rameauite,4,5,6,6,3782,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,orange,,,sheet,Compreignacite,13.9458,14.3105,13.8959,90,118.477,90,2437.7,monoclinic,m,Cc,C,470.9
3791,Ranunculite,,5,6,1,3791,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0003,yellow,waxy,3,,,11.1,17.7,18,90,90,90,3536,monoclinic,,,,975.3
5867,Rauchite,1,5,6,1,5867,72,FALSE,FALSE,TRUE,FALSE,TRUE,27,3.792,102.382,0.797,FALSE,0.002,yellowish-green,2,2,sheet,Autunite,7.1,7.125,10.751,106.855,104.366,90.42,502.4,triclinic,-1,P-1,P,356
3800,Rauvite,,5,6,31,3800,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,purplish-black,3,,,,,,,,,,,,,,,23
6608,Redcanyonite,1,6,6,1,6608,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellowish-orange,,,sheet,Zippeite,8.657,14.155,8.843,90,104.12,90,1050.88,monoclinic,2/m,B2/m,B,
3819,Renardite,,5,6,5,3819,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,greasy,,,,16.01,17.5,13.7,90,90,90,,orthorhombic,2/m2/m2/m,Bmmb,B,675
3845,Richetite,2,6,"5,6",7,3845,72,FALSE,FALSE,TRUE,FALSE,TRUE,224,7.807,1748.85,1,FALSE,,olive-brown,3,3.5,sheet,,12.0919,16.3364,20.2881,68.8,78.679,76.118,3600.65,triclinic,-1,P-1,P,2100
6607,Rietveldite,4,5,6,3,6607,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,brownish-yellow,2,2,chain,Svornostite,12.9577,8.3183,11.2971,90,90,90,1217.7,orthorhombic,mm2,Pmn21,P,408
3896,Roubaultite,1,5,6,3,3896,72,FALSE,FALSE,TRUE,FALSE,TRUE,37,4.236,156.75,0.813,TRUE,0.003,green,,3,chain,,7.767,6.924,7.85,92.16,90.89,93.48,421.018,triclinic,-1,P-1,P,675
3915,Rutherfordine,,3,6,55,3915,72,FALSE,FALSE,TRUE,FALSE,TRUE,7,2.236,15.651,0.796,FALSE,0.003,green,silky,,sheet,,4.84,9.273,4.298,90,90,90,192.9,orthorhombic,mm2,Imm2,I,1850
3922,Sabugalite,2,5,6,87,3922,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,2,2.5,sheet,,19.426,9.843,9.85,90,96.161,90,1872.54,monoclinic,2/m,C2/m,C,2840
3935,Saléeite,2,5,6,92,3935,72,FALSE,FALSE,TRUE,FALSE,TRUE,94,4.576,430.131,0.698,TRUE,0.002,yellow,,2-3,sheet,,6.9516,19.942,6.9667,90,90.586,90,965.76,orthorhombic,2/m,P21/n,P,2500
3969,Sayrite,2,4,6,3,3969,72,FALSE,FALSE,TRUE,FALSE,TRUE,58,3.892,225.763,0.664,FALSE,0.0006,orange,2,2.5,sheet,,10.704,6.96,14.533,90,113.81,90,966.323,monoclinic,2/m,P21/c,P,675
3990,Schmitterite,4,3,6,5,3990,72,FALSE,FALSE,TRUE,FALSE,TRUE,28,2.522,70.606,0.525,FALSE,,yellow,6,1,chain,,10.161,5.363,7.862,90,90,90,428.427,orthorhombic,mm2,Pca21,P,675
3995,Schoepite,4,3,6,90,3995,72,FALSE,FALSE,TRUE,FALSE,TRUE,200,5.644,1128.77,0.738,FALSE,0.0015,yellow,3,2.5,sheet,,14.337,16.813,14.731,90,90,90,3551,orthorhombic,mm2,P21ca,P,1510
4003,Schröckingerite,2,8,6,124,4003,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,102,5.672,578.587,0.85,FALSE,,yellowish-green,2,2.5,sheet,,9.634,9.635,14.391,91.41,92.33,120.26,1151.286,triclinic,-1,P-1,P,1900
4020,Sedovite,,3,4,3,4020,"72,78",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,brown,,,,,3.36,11.08,6.42,90,90,90,239.01,orthorhombic,,,,416
4022,Seelite,2,5,6,6,4022,72,FALSE,FALSE,TRUE,FALSE,TRUE,25,3.364,84.096,0.724,FALSE,0.001,yellow,2,,sheet,Seelite,18.194,7.071,6.67,90,99.7,90,845.826,monoclinic,2/m,C2/m,C,387
5737,Sejkoraite-(Y),2,5,6,2,5737,72,FALSE,FALSE,TRUE,FALSE,TRUE,162,6.34,1027.06,0.864,FALSE,0.001,yellow,2,2,sheet,Zippeite,14.0743,17.4174,17.7062,75.933,128.001,74.419,2776.985,triclinic,-1,P-1,P,0
4040,Sengierite,4,5,6,11,4040,72,FALSE,FALSE,TRUE,FALSE,TRUE,66,3.634,239.832,0.601,FALSE,0.002,green,2,2.5,sheet,,10.599,8.093,10.085,90,103.42,90,841.448,monoclinic,2/m,P21/a,P,675
4048,Shabaite-(Nd),5,6,6,1,4048,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.005,yellow,6,2.5,,,9.208,32.09,8.335,90,90.3,90,,monoclinic,"2,m,2/m","P2,Pm,P2/m",P,675
4055,Sharpite,2,5,6,5,4055,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellowish-green,,2.5-3,,,21.99,15.63,4.487,90,90,90,1542.2,orthorhombic,,,,675
6622,Shinkolobweite,2,4,"5,6",1,6622,"72,47",FALSE,FALSE,TRUE,TRUE,FALSE,,,,,TRUE,0.0005,bronze-yellow,3,2,sheet,,11.9454,14.3091,7.0629,90,90,90,1027.2,orthorhombic,mm2,Imm2,I,675
6458,Shumwayite,4,4,6,3,6458,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,124,4.954,614.32,0.712,TRUE,0.0003,greenish-yellow,2,2,chain,,6.74747,12.5026,16.9032,90,90.919,90,1425.79,monoclinic,2/m,P21/c,P,
4108,Sklodowskite,2,5,6,51,4108,72,FALSE,FALSE,TRUE,FALSE,TRUE,23,3.219,74.042,0.712,FALSE,,yellow,3,2-3,sheet,,17.382,7.047,6.61,90,105.9,90,778.688,monoclinic,2/m,C2/m,C,3411
4122,Soddyite,8,4,5,40,4122,72,FALSE,FALSE,TRUE,FALSE,TRUE,34,2.44,82.974,0.48,FALSE,0.003,amber,2,3-4,framework,,8.334,11.212,18.668,90,90,90,1744.353,orthorhombic,2/m2/m2/m,Fddd,F,1880
5168,Spriggite,8,4,6,1,5168,72,FALSE,FALSE,TRUE,FALSE,TRUE,140,5.186,726.1,0.727,FALSE,0.00015,orange,2,4,sheet,,28.355,11.99,13.998,90,104.248,90,4612.602,monoclinic,2/m,C2/c,C,394
5581,Šreinite,5,6,6,1,5581,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,yellow,2,2-4,,,15.5728,15.5728,15.5728,90,90,90,3776.6,cubic,4/m-32/m,Im-3m,I,725
6062,Štěpite,16,4,4,1,6062,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0006,green,2,2,sheet,,10.9894,10.9894,32.9109,90,90,90,3974.5,tetragonal,4/m2/m2/m,I41/acd,I,0
4221,Strelkinite,8,5,6,7,4221,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0015,yellow,silky,2-2.5,,,10.64,8.36,32.72,90,90,90,,orthorhombic,"2/m2/m2/m,mm2","Pnmm,Pnm2",P,416
4241,Studtite,4,3,6,23,4241,"47,72",FALSE,FALSE,TRUE,TRUE,FALSE,34,3.146,106.974,0.618,FALSE,0.0005,yellow,waxy,,chain,,14.068,6.721,8.428,90,123.356,90,665.7,monoclinic,2/m,C2/c,C,975.3
6376,Svornostite,2,6,6,1,6376,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,yellow,2,2,chain,Svornostite,12.785,8.2673,11.2163,90,90,90,1185.68,orthorhombic,mm2,Pmn21,P,0
4273,Swamboite-(Nd),18,5,6,2,4273,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,,2.5,,,17.64,21,20.12,90,103.4,90,7249.74,monoclinic,2/m,P21/a,P,675
4274,Swartzite,,6,6,4,4274,72,FALSE,FALSE,TRUE,FALSE,TRUE,106,4.973,527.16,0.739,TRUE,0.0003,green,,,cluster,,11.08,14.634,6.439,90,99.43,90,1029.941,monoclinic,2/m,P21/m,P,78
4342,Tengchongite,,5,6,3,4342,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,2,2-2.5,,,15.61,13.04,17.71,90,90,90,3604.95,orthorhombic,,,,142
4391,Threadgoldite,8,5,6,9,4391,"15,16,72",FALSE,FALSE,TRUE,FALSE,TRUE,104,4.7,488.846,0.702,FALSE,0.001,yellow-green,2,,sheet,,20.168,9.847,19.719,90,110.71,90,3663.033,monoclinic,m,Cc,C,975.3
4429,Torbernite,2,5,6,1018,4429,72,FALSE,FALSE,TRUE,FALSE,TRUE,106,3.162,335.16,0.47,TRUE,2.5,green,3,2-2.5,sheet,,7.0267,7.0267,20.807,90,90,90,1027.335,tetragonal,4/m2/m2/m,P4/nnc,P,3074
4444,Triangulite,,5,6,2,4444,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0002,yellow,2,2.0-3.0,,,,,,,,,,,,,,975.3
4458,Trögerite,1,4,6,22,4458,72,FALSE,FALSE,TRUE,FALSE,TRUE,88,2.914,256.43,0.451,TRUE,0.001,yellow,2,2-3,,Natroautunite,7.16,7.16,8.8,90,90,90,451.14,tetragonal,4/m2/m2/m,P4/nmm,P,416
