Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Country,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Reference (Max Age),Reference (Min Age),Excel ID (Max Age),Excel ID (Min Age),Query Minerals,# of Query Minerals at Locality
179,103,1714,"Mas D'Alary (Mas D'Alary MCO), Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Autunite, Bayleyite, Deliensite, Dewindtite, Ianthinite, Johannite, Kahlerite, Leydetite, Masuyite, Metalodèvite, Metanováčekite, Metatorbernite, Natrouranospinite, Nováčekite-I, Rabejacite, Saléeite, Schoepite, Soddyite, Uranopilite, Zellerite, Zeunerite, Zippeite, Znucalite",23
354,248,13488,"Bühlskopf U Deposit, Ellweiler, Birkenfeld, Hunsrück, Rhineland-Palatinate, Germany",Germany,,14243,"Rhineland-Palatinate, Germany",,,Hg-00059,Hg-00059,"Arsenuranospathite, Arsenuranylite, Becquerelite, Boltwoodite, Coffinite, Curite, Dewindtite, Hügelite, Hallimondite, Kasolite, Metaheinrichite, Metakahlerite, Metazeunerite, Natrouranospinite, Nováčekite-I, Rutherfordine, Schoepite, Sharpite, Sklodowskite, Uraninite, Uranopilite, Uranospinite, Zeunerite",23
,,53316,"Eureka Mine, Castell-estaó, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars Jussà, Lleida (Lérida), Catalonia, Spain",Spain,,,,,,,,"Čejkaite, Andersonite, Arsenuranylite, Autunite, Bayleyite, Billietite, Boltwoodite, Carnotite, Coffinite, Compreignacite, Cuprosklodowskite, Heinrichite, Natrouranospinite, Natrozippeite, Schröckingerite, Sengierite, Torbernite, Trögerite, Tyuyamunite, Uraninite, Uranophane-α, Vandendriesscheite, Zeunerite",23
675,483,4322,"Musonoi Mine (Musonoi Extension Mine), Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,4332,"Luiswishi Mine, Lubumbashi (Elizabethville), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",OGR40_81,OGR40_81,Kristen002307,Kristen002312,"Billietite, Cuprosklodowskite, Curite, Demesmaekerite, Derriksite, Fourmarierite, Francevillite, Guilleminite, Kasolite, Marthozite, Metatorbernite, Metatyuyamunite, Roubaultite, Rutherfordine, Schoepite, Sengierite, Sklodowskite, Soddyite, Torbernite, Tyuyamunite, Uranophane-α, Vandenbrandeite",22
,,1726,"Quistiav, Guern, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Bassetite, Chernikovite, Coffinite, Curite, Dewindtite, Fourmarierite, Johannite, Kasolite, Meta-autunite, Metatorbernite, Parsonsite, Phosphuranylite, Renardite, Sabugalite, Sklodowskite, Torbernite, Uraninite, Uranocircite-II, Uranophane-α, Uranopilite",21
250,201,1784,"Sophia Mine, Böckelsbach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Germany,,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",MD47_251,MD47_251,Kristen002290,Kristen002290,"Abernathyite, Arsenuranospathite, Billietite, Chadwickite, Hallimondite, Kamotoite-(Y), Kasolite, Metaheinrichite, Metakahlerite, Metanováčekite, Metarauchite, Metauranospinite, Metazeunerite, Protasite, Rutherfordine, Seelite, Uraninite, Uranospinite, Vandendriesscheite, Zeunerite, Zippeite",21
,,2123,"Arcu Su Linnarbu, Capoterra, Cagliari Province, Sardinia, Italy",Italy,,,,,,,,"Autunite, Bassetite, Carnotite, Coconinoite, Compreignacite, Ianthinite, Meta-ankoleite, Meta-autunite, Metasaléeite, Metatorbernite, Parsonsite, Phosphuranylite, Sabugalite, Saléeite, Schoepite, Soddyite, Threadgoldite, Torbernite, Uraninite, Uranophane-α, Yingjiangite",21
,,29932,"Rendena Valley Uranium Prospects, Bocenago & Spiazzo, Rendena Valley, Giudicarie Valleys, Trento Province, Trentino-Alto Adige (Trentino-Südtirol), Italy",Italy,,,,,,,,"Becquerelite, Billietite, Cuprosklodowskite, Curienite, Curite, Deliensite, Dewindtite, Francevillite, Kasolite, Meta-autunite, Metatyuyamunite, Metazeunerite, Protasite, Saléeite, Schoepite, Uraninite, Uranophane-α, Uranopilite, Wölsendorfite, Zeunerite, Zippeite",21
394,390,16646,"Mount Painter No. 2 Workings, Mt Painter Area, Arkaroola Region (Arkaroola Station), North Flinders Ranges, Flinders Ranges, South Australia, Australia",Australia,,157410,"Arkaroola Region (Arkaroola Station), North Flinders Ranges, Flinders Ranges, South Australia, Australia",CM52_183,CM52_183,Bradley_2012_127,Bradley_2012_127,"Autunite, Billietite, Boltwoodite, Curite, Dewindtite, Françoisite-(Ce), Françoisite-(Nd), Ishikawaite, Kasolite, Metaschoepite, Metatorbernite, Paulscherrerite, Rutherfordine, Samarskite-(Y), Schoepite, Soddyite, Spriggite, Torbernite, Uranophane-α, Weeksite",20
975.3,969.3,4313,"Kobokobo Pegmatite, Mwenga, Sud-Kivu, Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,262105,"Mwenga, Sud-Kivu, Democratic Republic Of Congo (Zaïre)",OGR64_667,OGR64_667,Alexandra-0228,Alexandra-0228,"Althupite, Autunite, Dumontite, Furongite, Kamitugaite, Meta-autunite, Metavanmeersscheite, Moreauite, Mundite, Phosphuranylite, Phuralumite, Ranunculite, Rutherfordine, Saléeite, Studtite, Threadgoldite, Triangulite, Upalite, Uraninite, Vanmeersscheite",20
179,103,1713,"Riviéral, Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Abernathyite, Autunite, Coffinite, Heinrichite, Meta-autunite, Metaheinrichite, Metalodèvite, Metatorbernite, Metazeunerite, Nováčekite-I, Rutherfordine, Schoepite, Sklodowskite, Torbernite, Trögerite, Uraninite, Uranophane-α, Uranopilite, Zeunerite, Zippeite",20
179,103,12946,"Mas D'Alary-Village, Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Autunite, Deliensite, Ianthinite, Masuyite, Meta-autunite, Metanováčekite, Metatorbernite, Metazeunerite, Natrouranospinite, Nováčekite-I, Phosphuranylite, Rabejacite, Rutherfordine, Schoepite, Torbernite, Uranospinite, Zellerite, Zeunerite, Zippeite",19
33.9,23,17024,"Mun. De Aldama, Chihuahua, Mexico",Mexico,,18802,"Plomosas Mine, Las Plomosas, Mun. De Coyame, Chihuahua, Mexico",USGSOFR2009-1252,USGSOFR2009-1252,sedznpb-00315,sedznpb-00315,"Becquerelite, Boltwoodite, Carnotite, Haiweeite, Ianthinite, Kasolite, Margaritasite, Metaschoepite, Metatyuyamunite, Nováčekite-I, Orthobrannerite, Phosphuranylite, Schoepite, Soddyite, Tyuyamunite, Uraninite, Uranophane-α, Vorlanite, Weeksite",19
,,193302,"Crucea, Suceava District, Suceava Co., Romania",Romania,,,,,,,,"Autunite, Clarkeite, Coffinite, Kasolite, Mundite, Saléeite, Sklodowskite, Soddyite, Upalite, Urancalcarite, Uraninite, Uranophane-α, Uranopilite, Uranosilite, Uranospathite, Ursilite, Weeksite, Zellerite, Zippeite",19
237,170,106405,"Rýžoviště, Harrachov (Harrachsdorf), Liberec Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,145736,"Harrachov (Harrachsdorf), Liberec Region, Bohemia (Böhmen; Boehmen), Czech Republic",CMP106_440,CMP106_440,Co-00080,Co-00079,"Autunite, Carnotite, Dewindtite, Kasolite, Liebigite, Masuyite, Meta-autunite, Metatorbernite, Phosphuranylite, Saléeite, Sklodowskite, Torbernite, Tyuyamunite, Uraninite, Uranophane-α, Uranosphaerite, Walpurgite, Zeunerite",18
,,37671,"Žirovski Vrh Uranium Mine, Todraž, Slovenia",Slovenia,,,,,,,,"Autunite, Coffinite, Dewindtite, Dumontite, Francevillite, Johannite, Meta-autunite, Metatorbernite, Metauranopilite, Phosphuranylite, Saléeite, Torbernite, Tyuyamunite, Uraninite, Uranophane-α, Uranopilite, Uvanite, Zippeite",18
,,51086,"Huemul Mine, Pampa Amarilla District, Malargüe Department, Mendoza, Argentina",Argentina,,,,,,,,"Andersonite, Autunite, Bayleyite, Carnotite, Coffinite, Cuprosklodowskite, Dewindtite, Johannite, Meta-autunite, Metatyuyamunite, Natrozippeite, Schröckingerite, Sengierite, Tyuyamunite, Uraninite, Uranopilite, Zippeite",17
,,41615,"El Sherana Mine (El Sherana West Mine), South Alligator River, West Arnhem Region, Northern Territory, Australia",Australia,,,,,,,,"Autunite, Becquerelite, Carnotite, Dewindtite, Dumontite, Heisenbergite, Kasolite, Meta-autunite, Metatorbernite, Metazeunerite, Rutherfordine, Saléeite, Soddyite, Threadgoldite, Torbernite, Uraninite, Vandendriesscheite",17
