Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Country,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Reference (Max Age),Reference (Min Age),Excel ID (Max Age),Excel ID (Min Age),Query Minerals,# of Query Minerals at Locality
,,143872,"Wukurqi U Deposit (Wukuerqi U Deposit; Ukurqi U Deposit; Wuyisan U Deposit; U Deposit No. 513), Chabucha'er Xibo Co. (Qapqal Xibe Co.; Chapchal Shibe Co.), Yili Hasake Autonomous Prefecture (Ili Kazakh Autonomous Prefecture), Xinjiang Autonomous Region, China",China,,,,,,,,"Coffinite, Uraninite",2
,,143862,"Zhajistan U Deposit (Zajistan U Deposit; Thajistan U Deposit; Wuyiyi U Deposit; U Deposit No. 511), Chabucha'er Xibo Co. (Qapqal Xibe Co.; Chapchal Shibe Co.), Yili Hasake Autonomous Prefecture (Ili Kazakh Autonomous Prefecture), Xinjiang Autonomous Region, China",China,,,,,,,,"Coffinite, Uraninite",2
,,231276,"Baiyanghe U-Be Deposit, Tuoli Co. (Toli Co.), Tacheng Prefecture (Tarbaghatay Prefecture), Yili Hasake Autonomous Prefecture (Ili Kazakh Autonomous Prefecture), Xinjiang Autonomous Region, China",China,,,,,,,,"Uraninite, Uranophane-α",2
,,155751,"Lianghe Au Deposit, Rehai Geothermal Field, Tengchong Co., Baoshan Prefecture, Yunnan Province, China",China,,,,,,,,"Coffinite, Uraninite",2
,,272299,"Spectacles Spring, Rehai Geothermal Field, Tengchong Co., Baoshan Prefecture, Yunnan Province, China",China,Collisional Boundary,,,,,,,"Coffinite, Uraninite",2
17.84,0,134613,"Unnamed U Deposit, Tengchong Co., Baoshan Prefecture, Yunnan Province, China",China,Collisional Boundary,134613,"Unnamed U Deposit, Tengchong Co., Baoshan Prefecture, Yunnan Province, China",GT16_283,GT16_283,Mo-00320,Mo-00320,"Calcurmolite, Tengchongite",2
,,225805,"Dachayuan U Deposit (U Deposit No. 661), Dazhou Uranium Ore Field (Uranium Ore Field No. 66), Kecheng District, Quzhou Prefecture, Zhejiang Province, China",China,,,,,,,,"Brannerite, Uraninite",2
,,225806,"Leigongdian U Deposit (U Deposit No. 663), Dazhou Uranium Ore Field (Uranium Ore Field No. 66), Kecheng District, Quzhou Prefecture, Zhejiang Province, China",China,,,,,,,,"Brannerite, Uraninite",2
,,225807,"U Deposit No. 665, Dazhou Uranium Ore Field (Uranium Ore Field No. 66), Kecheng District, Quzhou Prefecture, Zhejiang Province, China",China,,,,,,,,"Brannerite, Uraninite",2
,,29614,"San Cristobal Pegmatite, Mun. De Suaita, Santander Department, Colombia",Colombia,,,,,,,,"Dewindtite, Meta-autunite",2
443,130,245583,"Jánská Vein, Březové Hory Deposit, Březové Hory Ore Region (Birkenberg), Příbram, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18419,"Kutná Hora (Kuttenberg), Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",CMP106_440,IAEA-TECDOC_1258,Cu-00008,Kristen002440,"Cuprosklodowskite, Metatorbernite",2
348.5,130,105545,"Prokop Mine, Březové Hory Deposit, Březové Hory Ore Region (Birkenberg), Příbram, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,Continental Extension,189027,"Petrackova Hora, Hvožďany, Příbram District, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",JG54_1,IAEA-TECDOC_1258,JG54_1-00004,Kristen002440,"Kasolite, Widenmannite",2
348.5,130,795,"Uranium Mine No. 21 (Shaft No. 21), Háje, Příbram, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,189027,"Petrackova Hora, Hvožďany, Příbram District, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",JG54_1,IAEA-TECDOC_1258,JG54_1-00004,Kristen002440,"Schröckingerite, Tyuyamunite",2
,,133453,"Rožmitál (Rosental), Broumov (Braunau), Hradec Králové Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Carnotite, Sengierite",2
,,5646,"Litice Nad Orlicí, Žamberk, Hradec Králové Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Francevillite, Meta-autunite",2
,,188963,"Drmoul, Cheb (Eger), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Metatorbernite, Torbernite",2
350,350,155692,"Huber Stock (Huber Shaft; Hub Stock), Krásno (Schönfeld), Horní Slavkov (Schlaggenwald), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,769,"Horní Slavkov (Schlaggenwald), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",TCM41_307,TCM41_307,Mo-00009,Mo-00009,"Metatorbernite, Torbernite",2
270,130,219041,"Červené žíly Vein System, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Metatorbernite, Parsonsite",2
270,130,195426,"Eduard Mine, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Metarauchite, Metazeunerite",2
0,0,4457,"Elias Mine, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,AM102_595,AM102_595,Anthropocene-045,Anthropocene-045,"Pseudojohannite, Sejkoraite-(Y)",2
270,130,226905,"Giftkies Adit, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Agricolaite, Rutherfordine",2
270,130,247385,"Schweitzer Vein (Schweizer Vein), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Deliensite, Uranopilite",2
0,0,19729,"Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,AM102_595,AM102_595,Anthropocene-022,Anthropocene-022,"Geschieberite, Magnesiozippeite",2
330.6,290,220915,"Nové Město, Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,14276,"Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",L151_105,L151_105,Kristen000027,Kristen000029,"Deliensite, Uranopilite",2
,,188838,"Horní Rotava, Sokolov (Falkenau An Der Eger), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Autunite, Zeunerite",2
,,187615,"Stráž (Wartenberg), Česká Lípa (Böhmisch Leipa), Liberec Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Ningyoite, Vyacheslavite",2
,,188977,"Wagner Quarry, Ruprechtice, Liberec, Liberec Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Phosphuranylite, Uranophane-α",2
,,5648,"Prachovice, Pardubice Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Tyuyamunite, Uraninite",2
,,106823,"Běstvina, Třemošnice (Tremoschnitz), Pardubice Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Coffinite, Uraninite",2
,,188836,"Damětice, Horažďovice, Klatovy (Klattau), Plzeň Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Autunite, Uranocircite-II",2
,,189013,"Zborovy, Nepomuk (Pomuk), Plzeň Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Kasolite, Weeksite",2
,,221753,"Václav Graphite Mine, Bližná, Černá V Pošumaví (Schwarzbach Im Böhmerwald), Frymburk, South Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Euxenite-(Y), Hydroxycalciopyrochlore",2
,,188812,"Okrouhlá Radouň (Scheiben Radaun), Jindřichův Hradec Okres, South Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Brannerite, Coffinite",2
,,192756,"U Obrázku Quarry, Písek, South Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Písekite-(Y), Torbernite",2
,,188983,"Nahošín, Strakonice, South Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,,,,,,,"Coffinite, Uraninite",2
600,500,5621,"Měděnec (Kupferberg), Klášterec Nad Ohří, Krušné Hory Mts (Erzgebirge), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,5621,"Měděnec (Kupferberg), Klášterec Nad Ohří, Krušné Hory Mts (Erzgebirge), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",BOOK_MPLMEV_2008,BOOK_MPLMEV_2008,Alexandra-0422,Alexandra-0422,"Natrouranospinite, Nováčekite-I",2
725,236,240578,"Magnetite Mine, Měděnec (Kupferberg), Klášterec Nad Ohří, Krušné Hory Mts (Erzgebirge), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,774,"Teplice (Teplitz), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",NJMA187_289,NJMA187_289,Kristen001373,Kristen001371,"Schoepite, Uraninite",2
725,236,33904,"Vrchoslav Fluorite Deposit, Krupka (Graupen), Krušné Hory Mts (Erzgebirge), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,774,"Teplice (Teplitz), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic",NJMA187_289,NJMA187_289,Kristen001373,Kristen001371,"Metatorbernite, Natrozippeite",2
,,235847,"Lysá Hora (Kahlhübel), Maršíkov (Marchendorf), Šumperk (Mährisch Schönberg), Olomouc Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Coffinite, Uraninite",2
,,235965,"Tišnovská Nová Ves, Tišnov, South Moravia Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Coffinite, Uraninite",2
,,43370,"Dolní Rožínka, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Čejkaite, Torbernite",2
348.5,250,18388,"Petrovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,189027,"Petrackova Hora, Hvožďany, Příbram District, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",JG54_1,JG54_1,JG54_1-00004,JG54_1-00001,"Torbernite, Uraninite",2
,,157665,"Škrdlovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Liebigite, Uraninite",2
,,179964,"Jasenice, Velká Bíteš, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Brannerite, Coffinite",2
0,0,757,"Bukov Mine, Rožná Deposit, Žďár Nad Sázavou, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,AM102_595,AM102_595,Anthropocene-033,Anthropocene-033,"Marécottite, Nickelzippeite",2
900,900,13482,"Kasompi Mine (Menda Mine; Kasompi Hill), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,13482,"Kasompi Mine (Menda Mine; Kasompi Hill), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",USGSOFR03_107,USGSOFR03_107,sedcu-00394,sedcu-00394,"Cuprosklodowskite, Torbernite",2
675,483,13482,"Kasompi Mine (Menda Mine; Kasompi Hill), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,4332,"Luiswishi Mine, Lubumbashi (Elizabethville), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",OGR40_81,OGR40_81,Kristen002307,Kristen002312,"Kasolite, Sklodowskite",2
,,214294,"M-III, Gabel El-Missikat, Eastern Desert, Red Sea Governorate, Egypt",Egypt,,,,,,,,"Uraninite, Uranophane-α",2
,,241657,"South Wadi Khuda, Eastern Desert, Red Sea Governorate, Egypt",Egypt,,,,,,,,"Autunite, Kasolite",2
,,211822,"Paukkajanvaara Mine, Joensuu, Eastern Finland Region, Finland",Finland,,,,,,,,"Coffinite, Uraninite",2
,,211825,"Mårtensson Shaft, Paukkajanvaara Mine, Joensuu, Eastern Finland Region, Finland",Finland,,,,,,,,"Meta-autunite, Uranophane-α",2
,,33309,"Kilvenjärvi Offset Sulfide-PGE Deposit, Portimo Complex, Lapland Region, Finland",Finland,,,,,,,,"Uraninite, Uranophane-α",2
2100,1800,250909,"Honkilehto, Kuusamo, Northern Finland Region, Finland",Finland,,9701,"Juomasuo, Kuusamo, Northern Finland Region, Finland",MD25_S104,PR58_387,Kristen002033,Emily000539,"Bijvoetite-(Y), Richetite",2
2100,1800,10244,"Kitka River Valley, Kuusamo, Northern Finland Region, Finland",Finland,,9701,"Juomasuo, Kuusamo, Northern Finland Region, Finland",MD25_S104,PR58_387,Kristen002033,Emily000539,"Brannerite, Kasolite",2
,,31191,"Otamo Dolomite Quarry, Siikainen, Western And Inner Finland Region, Finland",Finland,,,,,,,,"Brannerite, Uraninite",2
,,1653,"Pyörönmaa Pegmatite, Valkeakoski, Western And Inner Finland Region, Finland",Finland,,,,,,,,"Coffinite, Uraninite",2
,,46120,"Fumouse, Le Mayet-de-Montagne, Allier, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,52101,"Montestudier, Pissis, Connangles, La Chaise-Dieu, Haute-Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,46152,"Nozeyrolles, Auvers, Pinols, Haute-Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,46150,"Servillanges, Venteuges, Saugues, Haute-Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,43963,"Châteaumorand And RN7 Slope, Saint-Martin-d'Estréaux, La Pacaudière, Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,19619,"La Chabanette, Les Bois-Noirs Mining Claim, Saint-Priest-la-Prugne, Saint-Just-en-Chevalet, Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Tyuyamunite, Uraninite",2
,,55006,"Le Poyet, Ambert, Puy-de-Dôme, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Metazeunerite, Uraninite",2
,,19615,"Le Temple, Marsac-de-Livradois, Puy-de-Dôme, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Uraninite, Zeunerite",2
,,263434,"Amethyst Occurrences, Chaméane, Sauxillanges, Puy-de-Dôme, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,31874,"La Verrière (Montchonay), Les Ardillats, Beaujeu, Rhône, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Metazeunerite, Zeunerite",2
,,20571,"Les Valettes Mine (Le Golet; Grange; Moret), Les Ardillats, Beaujeu, Rhône, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,252765,"Chanrion Mine, Poule-les-Echarmeaux, Rhône, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Torbernite",2
,,43898,"Pierre Château, La Léchère (Notre Dame De Briançon), Tarentaise Valley, Savoie, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Crichtonite, Senaite",2
,,210303,"Alligny En Morvan, Château-Chinon, Nièvre, Bourgogne-Franche-Comté, France",France,Continental Extension,,,,,,,"Torbernite, Uraninite",2
,,19639,"L'Huis-St Jacques, Nièvre, Bourgogne-Franche-Comté, France",France,,,,,,,,"Parsonsite, Uranocircite-II",2
,,19626,"Les Dorains, Grury, Issy-l'Evêque, Saône-et-Loire, Bourgogne-Franche-Comté, France",France,,,,,,,,"Autunite, Coffinite",2
,,20525,"Les Jalerys Mine, Grury, Issy-l'Evêque, Saône-et-Loire, Bourgogne-Franche-Comté, France",France,,,,,,,,"Autunite, Meta-autunite",2
,,19620,"Les Jeannots, Saint-Léger-sous-Beuvray, Saône-et-Loire, Bourgogne-Franche-Comté, France",France,,,,,,,,"Carnotite, Tyuyamunite",2
,,19719,"Le Gouray, Collinée, Côtes-d'Armor, Brittany, France",France,,,,,,,,"Billietite, Voglite",2
,,19644,"Le Plessis D'en Haut, Moncontour, Côtes-d'Armor, Brittany, France",France,,,,,,,,"Parsonsite, Uranocircite-II",2
,,42091,"Gwernavalou Quarry, Trémargat, Plounévez-Quintin, Côtes-d'Armor, Brittany, France",France,,,,,,,,"Autunite, Torbernite",2
,,57356,"Grand Spernot, Lambézellec, Brest, Finistère, Brittany, France",France,Continental Extension,,,,,,,"Autunite, Torbernite",2
,,143262,"Kerarsaoz Quarry, Saint-Thonan, Finistère, Brittany, France",France,,,,,,,,"Metatorbernite, Torbernite",2
,,64539,"Keralès (Roscorbel), Berné, Morbihan, Brittany, France",France,,,,,,,,"Sabugalite, Torbernite",2
,,64541,"Kerlosquet, Berné, Morbihan, Brittany, France",France,,,,,,,,"Torbernite, Uraninite",2
,,64298,"Galhaut, Bubry, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Uraninite",2
,,64386,"Coat Henven (Coët Henven), Guern, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Uraninite",2
,,64384,"Locrio, Guern, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Dewindtite",2
,,64244,"Brodimon Windmill, Saint-Yves, Lignol, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Torbernite",2
,,64303,"Sulliado, Persquen, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Uraninite",2
,,64540,"Kerhuennec, Plouay, Morbihan, Brittany, France",France,,,,,,,,"Meta-autunite, Uraninite",2
,,13376,"Triembach-au-Val, Villé Valley, Bas-Rhin, Grand Est, France",France,,,,,,,,"Metazeunerite, Zeunerite",2
,,13241,"Le Thillot, Upper Moselle Valley, Vosges, Grand Est, France",France,,,,,,,,"Autunite, Brannerite",2
,,54695,"Vein No. 3 (Le Bas Hérival), Les Roches Valley Area (Bois De La Vèche Area), Faymont, Val-d'Ajol, Vosges, Grand Est, France",France,,,,,,,,"Metazeunerite, Zeunerite",2
,,55178,"Le Pont Neuf, Meymac, Corrèze, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Torbernite",2
,,187503,"Hyverneresse Mine, Gioux, Creuse, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Uranophane-α",2
,,19697,"Puy Jean, Creuse, Nouvelle-Aquitaine, France",France,,,,,,,,"Parsonsite, Zeunerite",2
,,65520,"Avent Quarry, Bessines-sur-Gartempe, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Torbernite",2
,,19706,"Mas-Barbu Quarry, Bessines-sur-Gartempe, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Torbernite",2
,,55332,"Varnat, Saint-Amand-Magnazeix, Châteauponsac, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Uranophane-α",2
,,194624,"Piegut, Mailhac, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Coffinite, Uraninite",2
,,1709,"Vilatte-Basse Quarry (Les Eaux Vertes Quarry), Vilatte Quarries (La Vilate), Chanteloube, Razès, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Torbernite",2
,,65359,"Vilatte-Haute Quarry (Alluaud Quarry), Vilatte Quarries (La Vilate), Chanteloube, Razès, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Torbernite",2
,,19709,"Fanay Mine, Razès, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Uraninite",2
,,19710,"Le Fraisse Mine, Razès, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Uraninite",2
,,133141,"Saint-Yrieix-la-Perche, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Meta-ankoleite",2
,,58905,"La Boual, Brousse-et-Connac, Réquista, Aveyron, Occitanie, France",France,,,,,,,,"Autunite, Uranophane-α",2
,,19727,"La Rabasse Mines, Bournac, Hérault, Occitanie, France",France,,,,,,,,"Coffinite, Uraninite",2
179,103,1714,"Mas D'Alary (Mas D'Alary MCO), Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Calcurmolite, Umohoite",2
,,53556,"Le Villaret, La Chaze-de-Peyre, Aumont-Aubrac, Lozère, Occitanie, France",France,,,,,,,,"Autunite, Torbernite",2
,,19694,"Les Pierres-Plantées, Grandrieu, Lozère, Occitanie, France",France,,,,,,,,"Parsonsite, Uraninite",2
,,257588,"Pegmatite Field, Collioure (Cotlliure), Albères Massif, Pyrénées-Orientales, Occitanie, France",France,,,,,,,,"Autunite, Torbernite",2
,,19660,"Le Plessis, St Hilaire, Mortagne-sur-Sèvre, Vendée, Pays De La Loire, France",France,,,,,,,,"Sabugalite, Saléeite",2
,,19662,"Le Bourdet, Le Plessis, St Hilaire, Mortagne-sur-Sèvre, Vendée, Pays De La Loire, France",France,,,,,,,,"Autunite, Tyuyamunite",2
,,54186,"Roya, Auron, Saint-Etienne-de-Tinée, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France",France,,,,,,,,"Uranocircite-II, Zeunerite",2
,,54140,"La Gordolasque (EDF Gallery), Capelet Mt., Belvédère, Saint-Martin-Vésubie, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France",France,,,,,,,,"Uraninite, Uranophane-α",2
,,19617,"Les Granges Du Colonel, Capelet Mt., Belvédère, Saint-Martin-Vésubie, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France",France,,,,,,,,"Cuprosklodowskite, Uranophane-α",2
,,54042,"Millefonts, Col Ferrière, Valdeblore, Saint-Sauveur-sur-Tinée, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France",France,Continental Extension,,,,,,,"Uraninite, Uranophane-α",2
,,5665,"Herzog Friedrich Mine (incl. Neuglück Mine), Reinerzau District, Alpirsbach, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Uraninite, Uranospinite",2
,,5669,"Silbergrube, Kälbelberg, Baden-Baden, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metazeunerite, Zeunerite",2
,,32299,"Ameisenbuck, Badenweiler, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metatorbernite, Torbernite",2
,,1778,"Neubulach, Calw, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metatorbernite, Torbernite",2
,,5678,"Immelsbacher Höhe, Hornberg, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metazeunerite, Zeunerite",2
,,32422,"Igelloch, Niederwasser, Hornberg, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metazeunerite, Zeunerite",2
250,5.3,32262,"Alt St Joseph Mine, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Germany,Continental Extension,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",MD47_251,MD47_251,Kristen002290,Kristen002292,"Orthowalpurgite, Walpurgite",2
250,5.3,4431,"Schmiedestollen Dump, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Germany,,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",MD47_251,MD47_251,Kristen002290,Kristen002292,"Orthowalpurgite, Walpurgite",2
250,201,32264,"Neu St Joseph Mine, Wüstenbächle, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Germany,,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",MD47_251,MD47_251,Kristen002290,Kristen002290,"Metakahlerite, Uranospinite",2
,,32549,"Sengalenkopf, Schönau, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metazeunerite, Zeunerite",2
,,217856,"Porphyry Quarry, Detzeln, Waldshut, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Meta-autunite, Uraninite",2
,,13879,"Finstergrund Mine (Werner Adit; Werner Vein), Wieden, Black Forest, Baden-Württemberg, Germany",Germany,,,,,,,,"Metazeunerite, Zeunerite",2
,,13935,"Reinersreuth Quarry (Köhlerloh Quarry), Großer Waldstein, Reinersreuth, Sparneck, Fichtelgebirge, Franconia, Bavaria, Germany",Germany,,,,,,,,"Autunite, Torbernite",2
,,13173,"Fuchsbau Quarry, Leupoldsdorf, Tröstau, Fichtelgebirge, Franconia, Bavaria, Germany",Germany,,,,,,,,"Meta-autunite, Metatorbernite",2
,,13174,"Grasyma Quarry, Großer Waldstein, Weißenstadt, Fichtelgebirge, Franconia, Bavaria, Germany",Germany,,,,,,,,"Autunite, Uranophane-α",2
,,15020,"Frath Mine, Frath, Drachselsried, Lower Bavaria, Bavaria, Germany",Germany,,,,,,,,"Meta-autunite, Torbernite",2
,,18168,"Granite Quarries, Flossenbürg, Upper Palatinate, Bavaria, Germany",Germany,,,,,,,,"Autunite, Torbernite",2
489,471,17203,"Wilma Mine, Wendersreuth, Kirchendemenreuth, Upper Palatinate, Bavaria, Germany",Germany,,17203,"Wilma Mine, Wendersreuth, Kirchendemenreuth, Upper Palatinate, Bavaria, Germany",CM52_183,CM52_183,Bradley_2012_066,Bradley_2012_066,"Autunite, Torbernite",2
,,17017,"Hegner Quarry (1), Leuchtenberg, Upper Palatinate, Bavaria, Germany",Germany,,,,,,,,"Autunite, Torbernite",2
,,13101,"Plößberg-Wildenau Pegmatite, Plößberg, Upper Palatinate, Bavaria, Germany",Germany,,,,,,,,"Autunite, Uraninite",2
,,131583,"Bergäcker, Schwarzhofen, Upper Palatinate, Bavaria, Germany",Germany,,,,,,,,"Torbernite, Uranophane-α",2
,,13086,"Silbergrube, Waidhaus, Upper Palatinate, Bavaria, Germany",Germany,,,,,,,,"Autunite, Torbernite",2
