#,Name,Mineral Name (plain),rank,IMA Formula,IMA Validity,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,U redox,localities,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",H atoms,A. Min. cif,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,avg hard,topology,anion topology,structure,pdf of Journal,Xstal data from mindat,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,multiplicity,lattice,delta-Gf,delta-Hf,delta-Sf,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID,Ruff locality link,Mindat locality link
11,Arsenuranospathite,Arsenuranospathite,,Al(UO2)2(AsO4)2F·20H2O,A,Al^3+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·20H_2_O,2,Al As U O F H,6,6,13,13,959,72,0,0,1,0,1,,,,,,,0,,,,0.05,light yellow,,2,2,sheet,,,Y,N,,29.9262,7.1323,7.1864,90,90,90,1533.9,orthorhombic,mm2,Pnn2,,P,,,,416,18440,9,35,"Bota-Burum U Deposit, Lake Alakol (Lake Aaköl), Almaty Province (Almaty Oblysy; Almati Oblast'), Kazakhstan","45.694722222222,81.869444444444",DES407_290,Mo-00160,http://rruff.info/mineral_list/locality.php?mineral_name=Arsenuranospathite,https://www.mindat.org/min-373.html
12,Arsenuranylite,Arsenuranylite,,Ca(UO2)4(AsO4)2(OH)4·6H2O,G,Ca^2+^(U^6+^O_2_)_4_(As^5+^O_4_)_2_(OH)_4_·6H_2_O,6,Ca As U O H,5,6,7,7,960,72,0,0,1,0,1,,,,,,,0,,,,0.005,orange,,2.0-3,2.5,,,,N,Y,Phosphuranylite,15.4,17.4,13.77,90,90,90,3689.81,orthorhombic,,,,,,,,354,134188,2,10,"Bühlskopf U Deposit, Ellweiler, Birkenfeld, Hunsrück, Rhineland-Palatinate, Germany","49.617777777778,7.1466666666667",N/A,Hg-00059,http://rruff.info/mineral_list/locality.php?mineral_name=Arsenuranylite,https://www.mindat.org/min-374.html
13,Asselbornite,Asselbornite,,Pb(UO2)4(BiO)3(AsO4)2(OH)7·4H2O,A,Pb^2+^(U^6+^O_2_)_4_(Bi^3+^O)_3_(As^5+^O_4_)_2_(OH)_7_·4H_2_O,5,Pb Bi As U O H,6,6,2,2,975,72,0,0,1,0,1,,,,,,,0,,,,0.3,yellow-orange,3,2.0-4,3,,,,Y,N,,15.6568,15.6568,15.6568,90,90,90,3838.0,cubic,"4/m-32/m,432,2/m-3,23","Im3m,I432,Im3,I23",,I,,,,310,1892,1,9,"Walpurgis Flacher vein, Weißer Hirsch Mine (Shaft 3), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany","50.5880555556, 12.6372222222",BOOK_MPLMEV_2008,Alexandra-0429,http://rruff.info/mineral_list/locality.php?mineral_name=Asselbornite,https://www.mindat.org/min-397.html
14,Astrocyanite-(Ce),Astrocyanite-(Ce),,Cu2Ce2(UO2)(CO3)5(OH)2·1.5H2O,A,Cu^2+^_2_Ce^3+^_2_(U^6+^O_2_)(C^4+^O_3_)_5_(OH)_2_·1.5H_2_O,12,Cu Ce U C O H,6,6,1,1,976,72,0,0,1,0,1,,,,,,,0,,,,0.1,blue,5,2.0-3,2.5,,,,Y,N,,14.96,14.96,26.86,90,90,120,5206,hexagonal,,,,P,,,,675,4311,1,6,"Kamoto East Open Cut, Kamoto, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.72083,25.41528",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Astrocyanite-(Ce),https://www.mindat.org/min-404.html
15,Autunite,Autunite,,Ca(UO2)2(PO4)2·10-12H2O,G,Ca^2+^(U^6+^O_2_)_2_(P^5+^O_4_)_2_·10-12H_2_O,4,Ca P U O H,5,6,1223,1223,993,"16,72",0,0,1,0,1,,200,4.724,944.771,0.618,1,1,,,,0.0005,yellow-green,,,,sheet,,,Y,N,Autunite,14.0135,20.7121,6.9959,90,90,90,2030.55,orthorhombic,2/m2/m2/m,Pnma,,P,,,,2918,12565,179,508,"Wodgina Tantalite Mine (Wodgina Pegmatite; Main Tantalite Dyke), Wodgina, Abydos Station, Port Hedland Shire, Western Australia, Australia","-21.166666666667,118.66666666667",EG97_873,EG97_873-00006,http://rruff.info/mineral_list/locality.php?mineral_name=Autunite,https://www.mindat.org/min-433.html
16,Bassetite,Bassetite,,Fe2+(UO2)2(PO4)2(H2O)10,G,Fe^2+^(U^6+^O_2_)_2_(P^5+^O_4_)_2_(H_2_O)_10_,2,Fe P U O H,5,6,50,50,1051,72,0,0,1,0,1,,,,,,,0,,,,,brown-yellow,,,,sheet,,,Y,N,,6.9612,20.039,6.9743,90,90.465,90,972.86,monoclinic,2/m,P21/n,,P,,,,387,1782,7,45,"Clara Mine, Rankach Valley, Oberwolfach, Wolfach, Black Forest, Baden-Württemberg, Germany","48.383055555556,8.2463888888889",EJM21_817,EJM21_817tbl02-00027,http://rruff.info/mineral_list/locality.php?mineral_name=Bassetite,https://www.mindat.org/min-558.html
17,Baumoite,Baumoite,,BaU3Mo2O16(H2O)6,A,Ba^2+^U^6+^_3_Mo^6+^_2_O_16_(H_2_O)_6_,,Ba U Mo O H,5,6,0,1,6679,,,,,,,,,,,,,0,,,,,,,,,,,,In press,N,,9.884,7.5406,14.228,90,109.04,90,,monoclinic,2/m,X2/m,,,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Baumoite,https://www.mindat.org/min-52162.html
18,Bauranoite,Bauranoite,,BaU2O7·4-5H2O,A,Ba^2+^U^6+^_2_O_7_·4-5H_2_O,,Ba U O H,4,6,1,1,1060,72,0,0,1,0,1,,,,,,,0,,,,,reddish-brown,,5,5,,,,Y,N,Wölsendorfite,,,,,,,,,,,,,,,,142,25160,1,7,"Oktyabr'skoe Mo-U Deposit, Strel'tsovskoe Mo-U Ore Field, Krasnokamensk, Chitinskaya Oblast', Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia","50.091666666667,118.24944444444",GI47_321,Mo-00200,http://rruff.info/mineral_list/locality.php?mineral_name=Bauranoite,https://www.mindat.org/min-574.html
19,Bayleyite,Bayleyite,,Mg2(UO2)(CO3)3·18H2O,G,Mg^2+^_2_(U^6+^O_2_)(C^4+^O_3_)_3_·18H_2_O,4,Mg U C O H,5,6,37,37,1064,"72,76,89",0,0,1,0,1,,244,5.947,1451.1,0.75,1,1,32-101,,,0.0001,yellow,2,2-2.5,2.25,cluster,,,Y,N,,26.56,15.256,6.505,90,92.9,90,2632.4,monoclinic,2/m,P21/a,,P,,,,1814,29653,9,40,"Rabbit Lake Mine, Athabasca Basin, Saskatchewan, Canada","58.190833333333,-103.7125",GSLSP350_7,Kristen002522,http://rruff.info/mineral_list/locality.php?mineral_name=Bayleyite,https://www.mindat.org/min-582.html
20,Becquerelite,Becquerelite,,Ca(UO2)6O4(OH)6·8H2O,G,Ca^2+^(U^6+^O_2_)_6_O_4_(OH)_6_·8H_2_O,4,Ca U O H,4,6,88,88,1073,"16,72",0,0,1,0,1,,148,5.209,770.999,0.723,0,1,201364,,,0.02,amber,3,2.5,2.5,sheet,,,Y,N,,13.8527,12.3929,14.9297,90,90,90,2563.1,orthorhombic,mm2,Pn21a,,P,,,,1850,624,21,95,"Lake Athabasca, Saskatchewan, Canada",N/A,N/A,Hg-00086,http://rruff.info/mineral_list/locality.php?mineral_name=Becquerelite,https://www.mindat.org/min-597.html
