#,Name,Mineral Name (plain),rank,IMA Formula,IMA Validity,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,U redox,localities,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",H atoms,A. Min. cif,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,avg hard,topology,anion topology,structure,pdf of Journal,Xstal data from mindat,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,multiplicity,lattice,delta-Gf,delta-Hf,delta-Sf,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID,Ruff locality link,Mindat locality link
34,Calcioursilite,Calcioursilite,,Ca4(UO2)4(Si2O5)5(OH)6·15H2O,G,Ca^2+^_4_(U^6+^O_2_)_4_(Si^4+^_2_O_5_)_5_(OH)_6_·15H_2_O,,Ca U Si O H,5,6,1,1,5414,"53,72",0,0,1,0,1,,,,,,,0,,,,,yellow,5,,,,,,N,N,Ursilite,,,,,,,,,,,,,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Calcioursilite,https://www.mindat.org/min-11360.html
35,Calcurmolite,Calcurmolite,,(Ca1-xNax)2(UO2)3(MoO4)2(OH)6-x·nH2O,A,(Ca^2+^_1-x_Na_x_)_2_(U^6+^O_2_)_3_(Mo^6+^O_4_)_2_(OH)_6-x_·nH_2_O,,Ca Na Mo U O H,6,6,10,10,1293,72,0,0,1,0,1,,,,,,,0,,,,0.0015,yellow,,2.0-3,2.5,,,,Y,N,,16.3,25.5,19.5,90,90,90,8105,monoclinic,,,,,,,,3411,225391,7,33,"Paulding Uranium Prospect, Watersmeet, Gogebic Co., Michigan, USA","46.35579,-89.17905",GSA182_125,Kaitlynn000242,http://rruff.info/mineral_list/locality.php?mineral_name=Calcurmolite,https://www.mindat.org/min-863.html
36,Carlosbarbosaite,Carlosbarbosaite,,(UO2)2Nb2O6(OH)2·2H2O,A,(U^6+^O_2_)_2_Nb^5+^_2_O_6_(OH)_2_·2H_2_O,4,Nb U O H,4,6,1,1,5876,"16,72",0,0,1,0,1,,38,3.09,117.421,0.589,0,1,,,,0.000125,cream-yellow,2,,,framework,,,Y,N,,14.15,10.395,7.529,90,90,90,1107,orthorhombic,2/m2/m2/m,Cmcm,,C,,,,580,405,1,4,"Jaguaraçu Pegmatite, Jaguaraçu, Minas Gerais, Brazil",N/A,GSL350_25,Be-00003,http://rruff.info/mineral_list/locality.php?mineral_name=Carlosbarbosaite,https://www.mindat.org/min-41099.html
37,Carnotite,Carnotite,,K2(UO2)2(VO4)2·3H2O,G,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,2,K V U O H,5,6,1159,1159,1338,"72,83,87",0,0,1,0,1,,36,3.17,114.117,0.613,0,1,,,,0.002,yellow,2,2,2,sheet,,,Y,N,,10.47,8.41,6.91,90,103.83,90,590.8,monoclinic,2/m,P21/b,,P,,,,2742,109719,43,169,"Wiluna Shire, Western Australia, Australia","-26.6675,120.71194444444",N382_703,Mo-N382_703-0001,http://rruff.info/mineral_list/locality.php?mineral_name=Carnotite,https://www.mindat.org/min-907.html
38,Čejkaite,Cejkaite,,Na4(UO2)(CO3)3,A,Na_4_(U^6+^O_2_)(C^4+^O_3_)_3_,4,Na U C O,4,6,9,10,1360,"52,72,76",0,0,1,0,1,,38,4.248,161.421,0.809,0,1,,,,0.002,pale yellow,2,,,cluster,,,Y,N,,9.2919,16.0991,6.4436,90,91.404,90,963.62,monoclinic,m,Cc,,C,,,,282.7,135187,4,16,"Rožná I Mine (R-1; KHB), Rožná Deposit, Žďár Nad Sázavou, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic","49.480833333333,16.221666666667",MD44_99,MD44_99-00001,http://rruff.info/mineral_list/locality.php?mineral_name=Cejkaite,https://www.mindat.org/min-7105.html
39,Chadwickite,Chadwickite,,(UO2)(HAsO3),A,(U^6+^O_2_)(HAs^3+^O_3_),14,U As O H,4,6,1,1,1389,89,0,0,1,0,1,,22,2.163,47.578,0.485,0,1,266,,,0.00002,yellow,9,2,2,,,,N,Y,,11.00,11.00,15.96,90,90,90,1931.16,tetragonal,,,,N/A,,,,250,1784,1,7,"Sophia Mine, Böckelsbach Valley, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany","48.333333333333,8.3333333333333",MD47_251,Kristen002290,http://rruff.info/mineral_list/locality.php?mineral_name=Chadwickite,https://www.mindat.org/min-6858.html
40,Chernikovite,Chernikovite,,(H3O)(UO2)(PO4)·3H2O,A,(H_3_O)(U^6+^O_2_)(P^5+^O_4_)·3H_2_O,2,U P O H,4,6,19,19,1425,"16,86",0,0,1,0,1,,48,2.252,108.078,0.403,0,1,,,,0.00001,yellow,2,2.5,2.5,sheet,,,Y,N,Natroautunite,6.995,6.995,17.491,90,90,90,855.835,tetragonal,4/m 2/m 2/m,P4/ncc,,P,,,,1031,248743,3,19,"Werner No. 4 Pit, Mayfield, Fulton Co., New York, USA",N/A,CM52_183,Bradley_2012_057,http://rruff.info/mineral_list/locality.php?mineral_name=Chernikovite,https://www.mindat.org/min-991.html
41,Chistyakovaite,Chistyakovaite,,Al(UO2)2(AsO4)2F·6.5H2O,A,Al^3+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·6.5H_2_O,8,Al As U O F H,6,6,1,2,5213,72,0,0,1,0,1,,,,,,,0,,,,0.002,yellow,,2.5,2.5,,,,Y,N,,19.99,9.79,19.62,90,110.7,90,,monoclinic,"2/m,2,m","P2/m, P2, Pm",,P,,,,416,18440,1,4,"Bota-Burum U Deposit, Lake Alakol (Lake Aaköl), Almaty Province (Almaty Oblysy; Almati Oblast'), Kazakhstan","45.694722222222,81.869444444444",DES407_290,Mo-00160,http://rruff.info/mineral_list/locality.php?mineral_name=Chistyakovaite,https://www.mindat.org/min-27416.html
42,Clarkeite,Clarkeite,,Na(UO2)O(OH)·nH2O,G,Na(U^6+^O_2_)_O_(OH)·nH_2_O,3,Na U O H,4,6,18,18,1483,72,0,0,1,0,1,,6,1.918,11.51,0.742,0,1,40341,,,,brown,8,4-4.5,4.25,sheet,,,Y,N,,3.954,3.954,17.73,90,90,120,239.108,trigonal,-32/m,R-3m,,R,,,,367,17202,5,15,"Old 20 Mine (Carolina Mineral Company #20 Mine), Spruce Pine, Spruce Pine District, Mitchell Co., North Carolina, USA","35.866666666667,-82.016666666667",CM52_183,Bradley_2012_164,http://rruff.info/mineral_list/locality.php?mineral_name=Clarkeite,https://www.mindat.org/min-1059.html
43,Cleusonite,Cleusonite,,"Pb(U4+,U6+)Fe2+2(Ti,Fe2+,Fe3+)18(O,OH)38",A,"Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_",,Pb Sr Fe Zn Ti U O H,8,"4,6",13,13,5322,"38,51",1,1,0,1,0,,,,,,,0,,,,3,black,1,6.0-7,6.5,,,,Y,N,Crichtonite,10.576,10.576,21.325,90,90,120,2066,trigonal,-3,R-3,,R,,,,260,224836,2,12,"Rinnerlahner, Vizze Pass (Pfitsch Pass; Pfitscher Joch), San Giacomo (Sankt Jakob), Vizze Valley (Pfitsch Valley), Bolzano Province (South Tyrol), Trentino-Alto Adige (Trentino-Südtirol), Italy","46.99508,11.66005",USGSOFR03_107,sedcu-00462,http://rruff.info/mineral_list/locality.php?mineral_name=Cleusonite,https://www.mindat.org/min-26262.html
44,Cliffordite,Cliffordite,,UTe4+3O9,A,U^6+^Te^4+^_3_O_9_,4,U Te O,3,4,4,3,1488,72,0,0,1,0,1,,104,2.68,278.728,0.4,0,1,100878,,,0.02,bright yellow,3,4,4,cluster,,,Y,N,,11.370,11.370,11.370,90,90,90,1469.878,cubic,2/m-3,Pa3,,P,,,,48,2335,4,8,"Candelaria Mine (Candelaria Prospect), Moctezuma, Mun. De Moctezuma, Sonora, Mexico","29.8,-109.66666666667",N/A,Mo-00034,http://rruff.info/mineral_list/locality.php?mineral_name=Cliffordite,https://www.mindat.org/min-1064.html
45,Cobaltzippeite,Cobaltzippeite,,Co(UO2)2(SO4)O2·3.5H2O,Rn,Co^2+^(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,4,Co U S O H,5,6,2,2,4979,"72,76",0,0,1,0,1,,70,4.444,311.05,0.725,0,1,,,,,"tan, orange",,2,2,sheet,,,Y,N,Zippeite,8.650,14.1664,17.701,90,104.092,90,2102.7,monoclinic,2/m,C2/m,,C,,,,0,158151,2,11,"Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.399444444444,12.813611111111",AM102_595,Anthropocene-019,http://rruff.info/mineral_list/locality.php?mineral_name=Cobaltzippeite,https://www.mindat.org/min-1098.html
46,Coconinoite,Coconinoite,,Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O,A,Fe^3+^_2_Al^3+^_2_(U^6+^O_2_)_2_(P^5+6O_4_)_4_(S^6+^O_4_)(OH)_2_·20H_2_O,,Fe Al U P S O H,6,6,9,10,1528,72,0,0,1,0,1,,,,,,,0,,,,0.0020,creamy yellow,,,,,,,Y,N,,12.45,12.96,17.22,90,105.7,90,2674.82,monoclinic,"2/m,m","C2/c, Cc",,C,,,,2800,4227,3,10,"Wyoming, USA","43.084444444444,-107.19",USGSOFR02_189,ree-00758,http://rruff.info/mineral_list/locality.php?mineral_name=Coconinoite,https://www.mindat.org/min-1102.html
47,Coffinite,Coffinite,,U(SiO4)·nH2O,G,U^4+^(Si^4+^O_4_)·nH_2_O,4,U Si O H,4,4,537,537,1531,"53,83,87",0,0,1,0,1,,16,1.5,24,0.375,0,1,15484,,,0.00002,black,3,5.0-6,5.5,framework,,,Y,N,Zircon,6.995,6.995,6.263,90,90,90,306.449,tetragonal,4/m2/m2/m,I41/amd,,I,,,,3074,3097,102,313,"Witwatersrand Field, Free State Province, South Africa","-28.25,26.783055555556",OGR10_67,Kristen002296,http://rruff.info/mineral_list/locality.php?mineral_name=Coffinite,https://www.mindat.org/min-1106.html
48,Compreignacite,Compreignacite,,K2(UO2)6O4(OH)6·7H2O,A,K_2_(U^6+^O_2_)_6_O_4_(OH)_6_·7H_2_O,2,K U O H,4,6,25,25,1541,72,0,0,1,0,1,,74,3.48,257.5,0.56,0,1,71008,,,0.0001,yellow,,,,sheet,,,Y,N,Compreignacite,14.8591,7.1747,12.1871,90,90,90,1299.3,orthorhombic,2/m2/m2/m,Pnnm,,P,,,,348.5,245583,6,26,"Jánská Vein, Březové Hory Deposit, Březové Hory Ore Region (Birkenberg), Příbram, Central Bohemia Region, Bohemia (Böhmen; Boehmen), Czech Republic",N/A,JG54_1,JG54_1-00004,http://rruff.info/mineral_list/locality.php?mineral_name=Compreignacite,https://www.mindat.org/min-1117.html
49,Cousinite,Cousinite,,MgU4+2(MoO4)2(OH)6·2H2O (?),Q,Mg^2+^U^4+^_2_(Mo^6+^O_4_)_2_(OH)_6_·2H_2_O (?),,Mg U Mo O H,5,4,1,1,5081,72,0,0,1,0,1,,,,,,,0,,,,,black,2,,,,,,N,N/A,,,,,,,,,,,,,,,,,602,4328,1,5,"Shinkolobwe Mine (Kasolo Mine), Shinkolobwe, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.048333333333,26.550555555556",EG83_1247,Mo-00062,http://rruff.info/mineral_list/locality.php?mineral_name=Cousinite,https://www.mindat.org/min-1143.html
50,Coutinhoite,Coutinhoite,,ThxBa1-2x(UO2)2Si5O13·3H2O,A,Th^4+^_x_Ba^2+^_1-2x_(U^6+^O_2_)_2_Si^4+^_5_O_13_·3H_2_O,16,Th Ba U Si O H,6,6,1,1,4981,"16,72",0,0,1,0,1,,,,,,,0,,,,0.010,yellow,8,2,2,framework,,,Y,N,,14.1676,14.1935,35.754,90,90,90,7189.7,orthorhombic,2/m2/m2/m,Cmmb,,C,,,,630,395,1,4,"Urucum Claim (Córrego Do Urucum Pegmatite), Galiléia, Minas Gerais, Brazil","-19.023055555556,-41.46",GSSP350_25,Alexandra-0440,http://rruff.info/mineral_list/locality.php?mineral_name=Coutinhoite,https://www.mindat.org/min-26529.html
51,Cuprosklodowskite,Cuprosklodowskite,,Cu(UO2)2(SiO3OH)2·6H2O,G,Cu^2+^(U^6+^O_2_)_2_(Si^4+^O_3_OH)_2_·6H_2_O,1,Cu U Si O H,5,6,57,57,1602,72,0,0,1,0,1,,23,3.567,82.042,0.789,0,1,4350,,,3,green,7,4,4,sheet,,,Y,N,,7.052,9.267,6.655,109.2,89.8,110,383.028,triclinic,-1,P-1,,P,,,,1850,260472,22,81,"Nicholson No. 1 (""No. 1 Zone Extension"" Vein), Consolidated Nicholson Mines, Goldfields District, Beaverlodge Lake Area, Saskatchewan, Canada","59.46,-108.43666666667",N/A,Hg-00086,http://rruff.info/mineral_list/locality.php?mineral_name=Cuprosklodowskite,https://www.mindat.org/min-1191.html
52,Curienite,Curienite,,Pb(UO2)2(VO4)2·5H2O,Rn,Pb^2+^(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O,4,Pb U O V H,5,6,14,14,1607,72,0,0,1,0,1,,84,3.44,288.955,0.538,0,1,23515,,,,yellow,,3,3,sheet,,,Y,N,Fritzscheite,10.419,8.494,16.405,90,90,90,1451.826,orthorhombic,2/m2/m2/m,Pcan,,P,,,,675,4328,4,17,"Shinkolobwe Mine (Kasolo Mine), Shinkolobwe, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.048333333333,26.550555555556",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Curienite,https://www.mindat.org/min-1196.html
53,Curite,Curite,,Pb3+x[(UO2)4O4+x(OH)3-x]2·2H2O,G,Pb^2+^_3+x_[(U^6+^O_2_)_4_O_4+x_(OH)_3-x_]_2_·2H_2_O,2,Pb U O H,4,6,50,50,1608,72,0,0,1,0,1,,88,4.005,352.43,0.62,0,1,100260,,,0.001,red-orange,3,4.0-5,4.5,sheet,,,Y,N,,12.3143,12.9609,8.4053,90,90,90,1341.523,orthorhombic,2/m2/m2/m,Pnam,,P,,,,3074,56938,19,77,"Carbon Leader Reef, Witwatersrand Field, Free State Province, South Africa",N/A,OGR10_67,Kristen002296,http://rruff.info/mineral_list/locality.php?mineral_name=Curite,https://www.mindat.org/min-1197.html
54,Deliensite,Deliensite,,Fe2+(UO2)2(SO4)2(OH)2·7H2O,A,Fe^2+^(U^6+^O_2_)_2_(S^6+^O_4_)_2_(OH)_2_·7H_2_O,4,Fe U O S H,5,6,13,13,1648,72,0,0,1,0,1,,104,4.7,488.846,0.702,0,1,,,,0.4,"pale yellow, gray",2,2,2,sheet,,,Y,N,,15.8514,16.2478,6.8943,90,90,90,1775.63,orthorhombic,mm2,Pnn2,,P,,,,330.6,220915,7,19,"Nové Město, Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",N/A,L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Deliensite,https://www.mindat.org/min-6899.html
55,Deloryite,Deloryite,,Cu4(UO2)Mo2O8(OH)6,A,Cu^2+^_4_(U^6+^O_2_)Mo^6+^_2_O_8_(OH)_6_,2,Cu U Mo O H,5,6,1,1,1652,72,0,0,1,0,1,,23,3.219,74.042,0.712,0,1,81555,,,0.6,"dark green, black",2,4,4,sheet,,,Y,N,,19.49,6.116,5.52,90,104.18,90,652.67,monoclinic,2/m,C2/m,,C,,,,251,1747,1,5,"Cap Garonne Mine, Le Pradet, Var, Provence-Alpes-Côte D'Azur, France","43.081111111111,6.035",TP177_59,Mo-00013,http://rruff.info/mineral_list/locality.php?mineral_name=Deloryite,https://www.mindat.org/min-1254.html
56,Demesmaekerite,Demesmaekerite,,Pb2Cu5(UO2)2(Se4+O3)6(OH)6·2H2O,A,Pb^2+^_2_Cu^2+^_5_(U^6+^O_2_)_2_(Se^4+^O_3_)_6_(OH)_6_·2H_2_O,1,Pb Cu U O Se H,6,6,2,2,1654,72,0,0,1,0,1,,45,4.514,203.133,0.822,0,1,37177,,,1,green,,3.0-4,3.5,sheet,,,Y,N,,11.955,10.039,5.639,89.78,100.36,91.34,665.556,triclinic,-1,P-1,,P,,,,675,4322,2,11,"Musonoi Mine (Musonoi Extension Mine), Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.726944444444,25.452777777778",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Demesmaekerite,https://www.mindat.org/min-1259.html
57,Derriksite,Derriksite,,Cu4(UO2)(Se4+O3)2(OH)6,A,Cu^2+^_4_(U^6+^O_2_)(Se^4+^O_3_)_2_(OH)_6_,2,Cu U Se O H,5,6,2,2,1658,72,0,0,1,0,1,,42,3.916,164.477,0.726,0,1,38076,,,0.0007,green,2,,,sheet,,,,,,5.57,19.088,5.965,90,90,90,634,orthorhombic,mm2,Pn21m,,P,,,,675,4322,2,11,"Musonoi Mine (Musonoi Extension Mine), Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.726944444444,25.452777777778",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Derriksite,https://www.mindat.org/min-1264.html
58,Dewindtite,Dewindtite,,H2Pb3(UO2)6O4(PO4)4·12H2O,G,H_2_Pb^2+^_3_(U^6+^O_2_)_6_O_4_(P^5+^O_4_)_4_·12H_2_O,4,Pb U P O H,5,6,80,80,1665,72,0,0,1,0,1,,132,4.469,589.86,0.634,0,1,69399,,,0.003,yellow,4,,,sheet,,,Y (fr),N,Phosphuranylite,16.031,17.264,13.605,90,90,90,3765,orthorhombic,2/m2/m2/m,Bmmb,,B,,,,1757,41443,14,65,"Ranger No. 3 Deposit (Ranger No. 3 Pit), Ranger Mine (Ranger Uranium Mine), Kakadu, West Arnhem Region, Northern Territory, Australia","-12.683333333333,132.91666666667",EG82_857,EG82_857-1,http://rruff.info/mineral_list/locality.php?mineral_name=Dewindtite,https://www.mindat.org/min-1273.html
59,Dumontite,Dumontite,,Pb2(UO2)3O2(PO4)2·5H2O,G,Pb^2+^_2_(U^6+^O_2_)_3_O_2_(P^5+^O_4_)_2_·5H_2_O,2,Pb U P O H,5,6,17,17,1713,72,0,0,1,0,1,,56,4.022,225.212,0.693,0,1,202795,,,0.002,yellow,,,,sheet,,,N,N,,8.118,16.819,6.983,90,109.03,90,901.328,Monoclinic,2/m,P21/m,,P,,,,1757,4622,5,31,"Ranger Mine (Ranger Uranium Mine), Kakadu, West Arnhem Region, Northern Territory, Australia","-12.683333333333,132.91638888889",EG82_857,EG82_857-1,http://rruff.info/mineral_list/locality.php?mineral_name=Dumontite,https://www.mindat.org/min-1328.html
60,Dymkovite,Dymkovite,,Ni(UO2)2(As3+O3)2·7H2O,A,Ni^2+^(U^6+^O_2_)_2_(As^3+^O_3_)_2_·7H_2_O,2,Ni U As O H,5,6,1,1,5929,72,0,0,1,0,1,,21,3.059,64.239,0.696,0,1,,,,0.0015,yellow,2,3,3,sheet,,,Y,N,,17.99,7.033,6.633,90,99.62,90,827,monoclinic,2/m,C2/m,,C,,,,356,12451,1,4,"Belorechenskoe Deposit (Belorechenskoye; Dakhovskoe; Belaya Rechka), Adygea Republic (Adygeya), Northern Caucasus Region, Russia","44.153888888889,40.180277777778",DES416_1018,Alexandra-0074,http://rruff.info/mineral_list/locality.php?mineral_name=Dymkovite,https://www.mindat.org/min-43272.html
61,Ewingite,Ewingite,,Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138,A,Mg^2+^_8_Ca^2+^_8_(U^6+^O_2_)_24_(C^4+^O_3_)_30_O_4_(OH)_12_(H_2_O)_138_,8,Mg Ca U C O H,6,6,1,1,6539,72,0,0,1,0,1,,,,12684.86,,0,0,,,,0.0002,yellow,2,2,2,cluster,,,Y,N,,35.142,35.142,47.974,90,90,90,59245,tetragonal,4/m2/m2/m,I41/acd,32,I,,,,330.6,268271,1,6,"Plavno Mine, Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50° North , 12° East (est.)",L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Ewingite,https://www.mindat.org/min-47791.html
62,Fermiite,Fermiite,,Na4(UO2)(SO4)3∙3H2O,A,Na_4_(U^6+^O_2_)(S^6+^O_4_)_3_·3H_2_O,4,Na U S O H,5,6,1,1,6367,"72,76",0,0,1,0,1,,,,,,,0,,,,0.0005,greenish-yellow,2,2.5,2.5,chain,,,Y,N,,11.8407,7.8695,15.3255,90,90,90,1428,orthorhombic,mm2,Pmn2,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-020,http://rruff.info/mineral_list/locality.php?mineral_name=Fermiite,https://www.mindat.org/min-46506.html
63,Feynmanite,Feynmanite,,Na(UO2)(SO4)(OH)·3.5H2O,A,Na(U^6+^O_2_)(S^6+^O_4_)(OH)·3.5H_2_O,4,Na U S O H,5,6,0,2,6672,"72,76",0,0,1,0,1,,,,,,,0,,,,0.0001,greenish-yellow,2,2,2,sheet,,,"N, in press",N,,6.927,8.355,16.210,90,90.543,90,938.1,monoclinic,2/m,P2/n,,P,,,,0,38665,0,0,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-015,http://rruff.info/mineral_list/locality.php?mineral_name=Feynmanite,https://www.mindat.org/min-51977.html
64,Finchite,Finchite,,Sr(UO2)2(V2O8)·5H2O,A,Sr^2+^(U^6+^O_2_)_2_(V^5+^_2_O_8_)·5H_2_O,,Sr U V O H,5,6,0,1,6682,72,0,0,1,1,0,,,,,,,,,,,,yellow,,,,,,,,,Fritscheite,8.498,10.363,16.250,90,90,90,,orthorhombic,2/m2/m2/m,Pbcn,,P,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Finchite,https://www.mindat.org/min-52152.html
65,Fontanite,Fontanite,,Ca(UO2)3(CO3)2O2·6H2O,A,Ca^2+^(U^6+^O_2_)_3_(C^4+^O_3_)_2_O_2_·6H_2_O,4,Ca U C O H,5,6,2,2,1967,72,0,0,1,0,1,,104,4.7,488.846,0.702,0,1,,,,0.0012,yellow,2,3,3,sheet,,,Y,N,,6.968,17.276,15.377,90,90.064,90,1851,monoclinic,2/m,P21/n,,P,,,,282.7,757,2,11,"Bukov Mine, Rožná Deposit, Žďár Nad Sázavou, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic","49.4575,16.228611111111",MD44_99,MD44_99-00001,http://rruff.info/mineral_list/locality.php?mineral_name=Fontanite,https://www.mindat.org/min-1580.html
66,Fourmarierite,Fourmarierite,,Pb1-xO3-2x(UO2)4(OH)4+2x·4H2O,G,Pb^2+^_1-x_O_3-2x_(U^6+^O_2_)_4_(OH)_4+2x_·4H_2_O,6,Pb U O H,4,6,60,60,1975,72,0,0,1,0,1,,96,4.793,460.156,0.728,0,1,61441,,,0.002,red,3,3.0-4,3.5,sheet,,,Y,N,,13.938,16.638,14.672,90,90,90,3318.05,orthorhombic,mm2,Bb21m,,B,,,,1710,4121,22,98,"Tin Mountain Mine, Fourmile, Custer District, Custer Co., South Dakota, USA","43.746944444444,-103.72055555556",GCA51_1101,Scott-GCA51_1101-0001,http://rruff.info/mineral_list/locality.php?mineral_name=Fourmarierite,https://www.mindat.org/min-1587.html
67,Francevillite,Francevillite,,Ba(UO2)2(VO4)2·5H2O,Rn,Ba^2+^(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O,4,Ba U V O H,5,6,39,39,1977,72,0,0,1,0,1,,88,3.55,312.43,0.55,0,1,29518,,,0.008,"orange,yellow-green",,3,3,sheet,,,N,N,Fritzscheite,10.419,8.510,16.763,90,90,90,1486.303,orthorhombic,2/m2/m2/m,Pcan,,P,,,,1880.7,2814,9,43,"Murunskii Massif, Chara And Tokko Rivers Confluence, Aldan Shield, Sakha Republic (Saha Republic; Yakutia), Eastern-Siberian Region, Russia","58.366666666667,118.88333333333",GSLSP350_7,Kristen002515,http://rruff.info/mineral_list/locality.php?mineral_name=Francevillite,https://www.mindat.org/min-1589.html
68,Françoisite-(Ce),Francoisite-(Ce),,Ce(UO2)3O(OH)(PO4)2·6H2O,A,Ce^3+^(U^6+^O_2_)_3_O(OH)(P^5+^O_4_)_2_·6H_2_O,4,Ce U O P H,5,6,2,2,5530,72,0,0,1,0,1,,,,,,,0,,,,0.001,yellow,2,,,sheet,,,Y,N,,9.295,15.53,13.718,90,112.39,90,1831,monoclinic,2/m,P21/c,,P,,,,394,16646,1,7,"Mount Painter No. 2 Workings, Mt Painter Area, Arkaroola Region (Arkaroola Station), North Flinders Ranges, Flinders Ranges, South Australia, Australia","-30.220833333333,139.33222222222",CM52_183,Bradley_2012_127,http://rruff.info/mineral_list/locality.php?mineral_name=Francoisite-(Ce),https://www.mindat.org/min-27480.html
69,Françoisite-(Nd),Francoisite-(Nd),,Nd(UO2)3O(OH)(PO4)2·6H2O,A,Nd^3+^(U^6+^O_2_)_3_O(OH)(P^5+^O_4_)_2_·6H_2_O,4,Nd U O P H,5,6,5,5,1983,72,0,0,1,0,1,,112,4.807,538.424,0.706,0,1,202796,,,0.0003,yellow,2,3,3,sheet,,,Y,N,,9.298,15.605,13.668,90,112.77,90,1828.6,monoclinic,2/m,P21/c,,P,,,,675,4311,2,13,"Kamoto East Open Cut, Kamoto, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.720833333333,25.415277777778",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Francoisite-(Nd),https://www.mindat.org/min-1594.html
70,Fritzscheite,Fritzscheite,,"Mn2+(UO2)2(VO4,PO4)2·4H2O",G/Q,"Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,P^5+^O_4_)_2_·4H_2_O",,Mn U V P O H,6,6,4,4,2002,65,0,0,1,0,1,,,,,,,0,,,,,reddish-brown,2,2.0-3,2.5,,,,N,N,Fritzscheite,,,,,,,,,,,,,,,,330.6,68266,3,12,"Nejdek (Neudek), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50° North , 12° East (est.)",L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Fritzscheite,https://www.mindat.org/min-1611.html
71,Furongite,Furongite,,Al4(UO2)4(PO4)6(OH)2(H2O)19.5,A,Al^3+^_4_(U^6+^O_2_)_4_(P^5+^O_4_)_6_(OH)_2_(H_2_O)_19.5_,2,Al U P O H,5,6,2,2,2012,72,0,0,1,0,1,,,,,,,0,,,,0.0005,yellow,2,2.0-3,2.5,sheet,,,Y,N,,12.1685,14.1579,17.7884,79.822,77.637,67.293,2746.2,triclinic,-1,P-1,,P,,,,975.3,4313,1,4,"Kobokobo Pegmatite, Mwenga, Sud-Kivu, Democratic Republic Of Congo (Zaïre)","-3.0833333333333,27.133333333333",OGR64_667,Alexandra-0228,http://rruff.info/mineral_list/locality.php?mineral_name=Furongite,https://www.mindat.org/min-1621.html
